,정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명,gu
113,SEB100000031,세종문화회관,37.57359,126.9768571,20221011050911,1126.0,11,서울특별시,서울,종로구
114,SEB100000032,서울경찰청.경복궁역,37.5757446,126.9714842,20221011050911,1127.0,11,서울특별시,서울,종로구
115,SEB100000033,사직단,37.5748553,126.9681889,20221011050911,1128.0,11,서울특별시,서울,종로구
116,SEB100000034,광화문.광화문빌딩,37.5696876,126.9766885,20221011050911,1129.0,11,서울특별시,서울,종로구
117,SEB100000035,덕성여중고,37.5759017,126.982017,20221011050911,1130.0,11,서울특별시,서울,종로구
118,SEB100000036,안국역.서울공예박물관,37.5760695,126.9839957,20221011050911,1131.0,11,서울특별시,서울,종로구
119,SEB100000037,국민은행세검정지점,37.6046629,126.960888,20221011050911,1132.0,11,서울특별시,서울,종로구
120,SEB100000038,세검정초등학교,37.6025022,126.9612198,20221011050911,1133.0,11,서울특별시,서울,종로구
121,SEB100000039,세검정.상명대,37.6007325,126.9587223,20221011050911,1134.0,11,서울특별시,서울,종로구
122,SEB100000040,상명대입구.석파랑,37.5994133,126.9585702,20221011050911,1135.0,11,서울특별시,서울,종로구
123,SEB100000041,하림각,37.598133,126.9617068,20221011050911,1136.0,11,서울특별시,서울,종로구
124,SEB100000042,자하문터널입구.석파정,37.5955935,126.9636434,20221011050911,1137.0,11,서울특별시,서울,종로구
125,SEB100000043,부암동주민센터.무계원,37.592738,126.9639574,20221011050911,1138.0,11,서울특별시,서울,종로구
126,SEB100000044,부암동주민센터.무계원,37.5927861,126.9651419,20221011050911,1139.0,11,서울특별시,서울,종로구
127,SEB100000045,자하문터널입구.석파정,37.5955575,126.9639775,20221011050911,1140.0,11,서울특별시,서울,종로구
128,SEB100000046,하림각,37.5981476,126.9622153,20221011050911,1141.0,11,서울특별시,서울,종로구
129,SEB100000047,상명대입구.세검정교회,37.5996163,126.9592405,20221011050911,1142.0,11,서울특별시,서울,종로구
130,SEB100000048,세검정.상명대,37.6005524,126.9589342,20221011050911,1143.0,11,서울특별시,서울,종로구
131,SEB100000049,세검정초등학교,37.602268,126.9614328,20221011050911,1144.0,11,서울특별시,서울,종로구
132,SEB100000051,국민은행세검정지점,37.6047191,126.9612088,20221011050911,1146.0,11,서울특별시,서울,종로구
133,SEB100000053,승가사입구,37.6115844,126.9563059,20221011050911,1148.0,11,서울특별시,서울,종로구
134,SEB100000054,구기동현대빌라,37.6100355,126.9564575,20221011050911,1149.0,11,서울특별시,서울,종로구
135,SEB100000055,구기터널.삼성출판박물관,37.6086098,126.9562103,20221011050911,1150.0,11,서울특별시,서울,종로구
136,SEB100000056,구기터널.삼성출판박물관,37.6083054,126.9564166,20221011050911,1151.0,11,서울특별시,서울,종로구
137,SEB100000057,구기동,37.6069644,126.9585297,20221011050911,1152.0,11,서울특별시,서울,종로구
138,SEB100000058,구기동,37.6070088,126.9591017,20221011050911,1153.0,11,서울특별시,서울,종로구
139,SEB100000059,승가사입구,37.61148,126.956482,20221011050911,1154.0,11,서울특별시,서울,종로구
140,SEB100000060,갑을씨티텔앞,37.6043709,126.963535,20221011050911,1155.0,11,서울특별시,서울,종로구
141,SEB100000061,평창파출소,37.6053223,126.9660432,20221011050911,1156.0,11,서울특별시,서울,종로구
142,SEB100000062,평창동주민센터,37.6066073,126.9695663,20221011050911,1157.0,11,서울특별시,서울,종로구
143,SEB100000063,일성아파트,37.6087663,126.9729985,20221011050911,1158.0,11,서울특별시,서울,종로구
144,SEB100000064,롯데아파트,37.6104295,126.9764662,20221011050911,1159.0,11,서울특별시,서울,종로구
145,SEB100000065,롯데아파트,37.610248,126.976652,20221011050911,1160.0,11,서울특별시,서울,종로구
146,SEB100000066,벽산평창힐스아파트,37.60819,126.972797,20221011050911,1161.0,11,서울특별시,서울,종로구
147,SEB100000067,예능교회,37.606517,126.97,20221011050911,1162.0,11,서울특별시,서울,종로구
148,SEB100000068,서울예술고등학교.평창동주민센터,37.6057787,126.9676276,20221011050911,1163.0,11,서울특별시,서울,종로구
149,SEB100000069,화정박물관,37.6045038,126.9648102,20221011050911,1164.0,11,서울특별시,서울,종로구
150,SEB100000072,독립문역.서대문형무소역사관,37.5732126,126.9594644,20221011050911,1167.0,11,서울특별시,서울,종로구
151,SEB100000073,서대문.서울시교육청,37.5682538,126.9645273,20221011050911,1168.0,11,서울특별시,서울,종로구
152,SEB100000075,독립문,37.5711733,126.9615632,20221011050911,1171.0,11,서울특별시,서울,종로구
153,SEB100000076,창덕궁.서울돈화문국악당,37.5775405,126.9885394,20221011050911,1172.0,11,서울특별시,서울,종로구
154,SEB100000077,서린동.SK서린빌딩,37.5692423,126.9802681,20221011050911,1173.0,11,서울특별시,서울,종로구
155,SEB100000078,청계1가.광교,37.5686843,126.9849267,20221011050911,1174.0,11,서울특별시,서울,종로구
156,SEB100000079,청계2가.수표교,37.5684977,126.990644,20221011050911,1175.0,11,서울특별시,서울,종로구
157,SEB100000080,청계4가.세운교,37.5689116,126.9964597,20221011050911,1176.0,11,서울특별시,서울,종로구
158,SEB100000081,청계5가.광장시장,37.5694512,126.9997973,20221011050911,1177.0,11,서울특별시,서울,종로구
159,SEB100000102,원남동,37.5745325,126.9973383,20221011050911,1198.0,11,서울특별시,서울,종로구
160,SEB100000103,창덕궁.우리소리박물관,37.5772728,126.9886349,20221011050911,1199.0,11,서울특별시,서울,종로구
