,자치구별,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
228,강남구,39.53,202109,149000,3769,2021,9
229,강남구,49.86,202110,160000,3208,2021,10
230,강남구,59.96,202106,52000,867,2021,6
231,강남구,84.96,202108,77000,906,2021,8
232,강남구,84.96,202108,77000,906,2021,8
233,강남구,84.89,202110,120000,1413,2021,10
234,강남구,78.93,202101,181000,2293,2021,1
235,강남구,79.61,202101,200000,2512,2021,1
236,강남구,79.61,202101,200000,2512,2021,1
237,강남구,79.61,202109,250000,3140,2021,9
238,강남구,84.9,202101,241000,2838,2021,1
239,강남구,84.9,202105,268143,3158,2021,5
240,강남구,59.7,202103,65900,1103,2021,3
241,강남구,95.4,202101,215000,2253,2021,1
242,강남구,177.19,202101,317000,1789,2021,1
243,강남구,128.62,202102,270000,2099,2021,2
244,강남구,177.19,202104,325000,1834,2021,4
245,강남구,95.4,202108,254500,2667,2021,8
246,강남구,95.4,202108,275000,2882,2021,8
247,강남구,128.62,202108,320000,2487,2021,8
248,강남구,177.19,202112,355000,2003,2021,12
249,강남구,131.83,202101,265000,2010,2021,1
250,강남구,84.81,202101,224000,2641,2021,1
251,강남구,165.08,202101,310000,1877,2021,1
252,강남구,131.83,202102,270000,2048,2021,2
253,강남구,84.81,202105,248000,2924,2021,5
254,강남구,84.81,202107,245000,2888,2021,7
255,강남구,84.81,202109,260000,3065,2021,9
256,강남구,163.85,202101,243000,1483,2021,1
257,강남구,131.83,202104,290000,2199,2021,4
258,강남구,84.87,202106,250000,2945,2021,6
259,강남구,163.85,202108,390000,2380,2021,8
260,강남구,129.1841,202111,145000,1122,2021,11
261,강남구,30.215,202103,33800,1118,2021,3
262,강남구,30.215,202107,37000,1224,2021,7
263,강남구,42.015,202108,45000,1071,2021,8
264,강남구,39.035,202108,49500,1268,2021,8
265,강남구,39.035,202108,49500,1268,2021,8
266,강남구,39.035,202108,48000,1229,2021,8
267,강남구,39.035,202109,49600,1270,2021,9
268,강남구,39.035,202110,47500,1216,2021,10
269,강남구,39.035,202110,49500,1268,2021,10
270,강남구,114.27,202108,172000,1505,2021,8
271,강남구,135.3,202101,123500,912,2021,1
272,강남구,139.35,202102,120500,864,2021,2
273,강남구,67.671,202104,128000,1891,2021,4
274,강남구,67.671,202108,133000,1965,2021,8
275,강남구,240.03,202104,446000,1858,2021,4
276,강남구,240.03,202110,460000,1916,2021,10
277,강남구,113.84,202104,101000,887,2021,4
278,강남구,111.08,202107,130000,1170,2021,7
279,강남구,59.75,202101,164000,2744,2021,1
280,강남구,47.46,202102,130000,2739,2021,2
281,강남구,83.64,202104,111000,1327,2021,4
282,강남구,101.04,202104,120000,1187,2021,4
283,강남구,117.84,202108,172000,1459,2021,8
284,강남구,170.57,202108,210000,1231,2021,8
285,강남구,98.81,202105,95000,961,2021,5
286,강남구,114.498,202102,220000,1921,2021,2
287,강남구,84.9875,202102,179500,2112,2021,2
288,강남구,114.498,202107,240000,2096,2021,7
289,강남구,208.35,202101,355000,1703,2021,1
290,강남구,180.07,202102,305000,1693,2021,2
291,강남구,213.98,202103,320000,1495,2021,3
292,강남구,157.41,202104,285000,1810,2021,4
293,강남구,180.07,202104,315000,1749,2021,4
294,강남구,160.33,202105,330000,2058,2021,5
295,강남구,157.41,202105,316000,2007,2021,5
296,강남구,84.92,202101,176000,2072,2021,1
297,강남구,119.67,202101,182000,1520,2021,1
298,강남구,84.92,202101,167000,1966,2021,1
299,강남구,84.92,202104,180000,2119,2021,4
300,강남구,84.92,202104,186000,2190,2021,4
301,강남구,84.92,202108,227000,2673,2021,8
302,강남구,84.92,202109,225000,2649,2021,9
303,강남구,84.721,202101,160000,1888,2021,1
304,강남구,84.253,202107,180000,2136,2021,7
305,강남구,106.829,202109,200000,1872,2021,9
306,강남구,85.0,202101,91000,1070,2021,1
307,강남구,84.84,202111,73000,860,2021,11
308,강남구,82.67,202101,80500,973,2021,1
309,강남구,36.29,202101,36000,992,2021,1
310,강남구,36.29,202101,35300,972,2021,1
311,강남구,36.29,202102,35000,964,2021,2
312,강남구,36.29,202103,35000,964,2021,3
313,강남구,36.29,202104,35000,964,2021,4
314,강남구,36.29,202104,34500,950,2021,4
315,강남구,36.29,202105,34000,936,2021,5
316,강남구,36.29,202105,34500,950,2021,5
317,강남구,36.29,202105,33300,917,2021,5
318,강남구,36.29,202105,32000,881,2021,5
319,강남구,36.29,202105,35000,964,2021,5
320,강남구,36.29,202105,37500,1033,2021,5
321,강남구,36.29,202106,40000,1102,2021,6
322,강남구,36.29,202106,37000,1019,2021,6
323,강남구,36.29,202106,34781,958,2021,6
324,강남구,36.29,202106,34781,958,2021,6
325,강남구,36.29,202107,36000,992,2021,7
326,강남구,36.29,202107,39500,1088,2021,7
327,강남구,36.29,202108,38000,1047,2021,8
328,강남구,36.29,202108,37000,1019,2021,8
329,강남구,36.29,202109,41300,1138,2021,9
330,강남구,36.29,202109,42300,1165,2021,9
331,강남구,36.29,202110,40000,1102,2021,10
332,강남구,36.29,202110,41000,1129,2021,10
333,강남구,36.29,202111,35450,976,2021,11
334,강남구,36.29,202112,39300,1082,2021,12
335,강남구,232.54,202102,250000,1075,2021,2
336,강남구,243.94,202105,240000,983,2021,5
337,강남구,235.81,202105,280000,1187,2021,5
338,강남구,78.54,202111,95000,1209,2021,11
339,강남구,164.04,202102,170000,1036,2021,2
340,강남구,143.28,202103,165000,1151,2021,3
341,강남구,105.96,202105,135000,1274,2021,5
342,강남구,35.73,202101,84000,2350,2021,1
343,강남구,114.34,202102,200000,1749,2021,2
344,강남구,84.52,202102,165000,1952,2021,2
345,강남구,35.73,202102,95000,2658,2021,2
346,강남구,84.52,202103,156700,1853,2021,3
347,강남구,35.73,202104,90000,2518,2021,4
348,강남구,84.69,202104,173500,2048,2021,4
349,강남구,35.73,202104,92000,2574,2021,4
350,강남구,84.52,202105,168500,1993,2021,5
351,강남구,35.73,202105,93000,2602,2021,5
352,강남구,114.34,202105,180000,1574,2021,5
353,강남구,114.34,202105,198000,1731,2021,5
354,강남구,84.52,202105,145000,1715,2021,5
355,강남구,35.73,202106,94000,2630,2021,6
356,강남구,35.73,202107,91000,2546,2021,7
357,강남구,35.73,202107,94000,2630,2021,7
358,강남구,35.73,202107,95500,2672,2021,7
359,강남구,35.73,202108,93000,2602,2021,8
360,강남구,84.52,202109,175000,2070,2021,9
361,강남구,84.52,202109,175000,2070,2021,9
362,강남구,59.91,202101,107000,1786,2021,1
363,강남구,59.91,202103,107000,1786,2021,3
364,강남구,59.91,202104,111000,1852,2021,4
365,강남구,84.13,202103,210000,2496,2021,3
366,강남구,113.231,202105,269000,2375,2021,5
367,강남구,113.231,202105,250000,2207,2021,5
368,강남구,84.074,202107,260000,3092,2021,7
369,강남구,84.074,202109,255000,3033,2021,9
370,강남구,84.013,202110,262000,3118,2021,10
371,강남구,84.074,202110,246000,2925,2021,10
372,강남구,68.31,202111,83200,1217,2021,11
373,강남구,36.11,202111,44000,1218,2021,11
374,강남구,36.11,202111,44000,1218,2021,11
375,강남구,29.9,202111,36400,1217,2021,11
376,강남구,68.31,202111,83200,1217,2021,11
377,강남구,36.11,202111,44000,1218,2021,11
378,강남구,68.31,202111,83200,1217,2021,11
379,강남구,29.9,202111,36400,1217,2021,11
380,강남구,133.44,202111,173200,1297,2021,11
381,강남구,36.11,202111,41500,1149,2021,11
382,강남구,32.2,202111,37000,1149,2021,11
383,강남구,36.11,202111,41500,1149,2021,11
384,강남구,68.31,202111,78600,1150,2021,11
385,강남구,29.9,202111,34300,1147,2021,11
386,강남구,36.11,202111,40500,1121,2021,11
387,강남구,32.2,202111,36100,1121,2021,11
388,강남구,36.11,202111,40500,1121,2021,11
389,강남구,32.2,202111,39200,1217,2021,11
390,강남구,74.758,202101,116000,1551,2021,1
391,강남구,79.227,202103,118500,1495,2021,3
392,강남구,79.227,202103,118500,1495,2021,3
393,강남구,74.758,202106,130000,1738,2021,6
394,강남구,110.1,202103,105000,953,2021,3
395,강남구,109.36,202105,130000,1188,2021,5
396,강남구,64.23,202112,60000,934,2021,12
397,강남구,75.12,202102,95000,1264,2021,2
398,강남구,80.4,202104,98000,1218,2021,4
399,강남구,77.7,202101,90000,1158,2021,1
400,강남구,97.18,202101,140000,1440,2021,1
401,강남구,85.12,202101,119000,1398,2021,1
402,강남구,85.12,202103,130000,1527,2021,3
403,강남구,85.12,202107,135000,1585,2021,7
404,강남구,97.18,202108,165000,1697,2021,8
405,강남구,114.3,202109,127800,1118,2021,9
406,강남구,43.392,202110,105000,2419,2021,10
407,강남구,43.392,202110,110000,2535,2021,10
408,강남구,43.392,202112,108000,2488,2021,12
409,강남구,104.64,202107,124500,1189,2021,7
410,강남구,16.2,202101,24000,1481,2021,1
411,강남구,16.2,202103,20000,1234,2021,3
412,강남구,16.2,202103,20200,1246,2021,3
413,강남구,16.2,202103,22000,1358,2021,3
414,강남구,16.2,202105,14200,876,2021,5
415,강남구,16.2,202112,23000,1419,2021,12
416,강남구,84.94,202105,173500,2042,2021,5
417,강남구,84.94,202112,178000,2095,2021,12
418,강남구,117.335,202103,160000,1363,2021,3
419,강남구,83.7,202106,132000,1577,2021,6
420,강남구,242.48,202104,180000,742,2021,4
421,강남구,244.61,202107,259000,1058,2021,7
422,강남구,244.61,202107,259000,1058,2021,7
423,강남구,194.92,202105,185000,949,2021,5
424,강남구,84.81,202101,285000,3360,2021,1
425,강남구,84.81,202101,285000,3360,2021,1
426,강남구,84.81,202101,285000,3360,2021,1
427,강남구,127.61,202103,371000,2907,2021,3
428,강남구,84.81,202104,300000,3537,2021,4
429,강남구,127.61,202105,390000,3056,2021,5
430,강남구,127.61,202105,390000,3056,2021,5
431,강남구,84.81,202106,294000,3466,2021,6
432,강남구,84.81,202107,280000,3301,2021,7
433,강남구,127.61,202107,402000,3150,2021,7
434,강남구,127.61,202108,406000,3181,2021,8
435,강남구,84.81,202110,318000,3749,2021,10
436,강남구,84.81,202111,311500,3672,2021,11
437,강남구,84.81,202112,318500,3755,2021,12
438,강남구,127.78,202102,378000,2958,2021,2
439,강남구,84.69,202104,295000,3483,2021,4
440,강남구,84.69,202105,289000,3412,2021,5
441,강남구,127.78,202112,420000,3286,2021,12
442,강남구,127.78,202112,390000,3052,2021,12
443,강남구,168.04,202101,225000,1338,2021,1
444,강남구,35.236,202101,33500,950,2021,1
445,강남구,54.966,202104,65000,1182,2021,4
446,강남구,35.236,202106,33900,962,2021,6
447,강남구,35.796,202107,33000,921,2021,7
448,강남구,41.112,202109,52000,1264,2021,9
449,강남구,35.236,202112,33500,950,2021,12
450,강남구,33.06,202104,30000,907,2021,4
451,강남구,33.06,202104,28000,846,2021,4
452,강남구,34.2,202108,29000,847,2021,8
453,강남구,34.2,202108,29000,847,2021,8
454,강남구,34.2,202108,30000,877,2021,8
455,강남구,34.2,202109,28500,833,2021,9
456,강남구,34.2,202109,29000,847,2021,9
457,강남구,34.2,202110,28300,827,2021,10
458,강남구,59.98,202104,68000,1133,2021,4
459,강남구,59.96,202105,77800,1297,2021,5
460,강남구,59.88,202101,187000,3122,2021,1
461,강남구,97.35,202101,270000,2773,2021,1
462,강남구,84.58,202111,254000,3003,2021,11
463,강남구,114.97,202102,315000,2739,2021,2
464,강남구,119.58,202104,335000,2801,2021,4
465,강남구,59.96,202107,226000,3769,2021,7
466,강남구,59.96,202107,198000,3302,2021,7
467,강남구,119.58,202108,370000,3094,2021,8
468,강남구,59.96,202109,226000,3769,2021,9
469,강남구,149.78,202110,460000,3071,2021,10
470,강남구,84.69,202102,227000,2680,2021,2
471,강남구,84.69,202102,227000,2680,2021,2
472,강남구,84.69,202102,233500,2757,2021,2
473,강남구,84.69,202104,233000,2751,2021,4
474,강남구,84.69,202104,228000,2692,2021,4
475,강남구,84.69,202105,228000,2692,2021,5
476,강남구,84.69,202106,233000,2751,2021,6
477,강남구,115.59,202107,285000,2465,2021,7
478,강남구,115.59,202107,285000,2465,2021,7
479,강남구,84.69,202109,239000,2822,2021,9
480,강남구,115.59,202109,298000,2578,2021,9
481,강남구,84.69,202110,259000,3058,2021,10
482,강남구,84.69,202110,250000,2951,2021,10
483,강남구,84.99,202106,157000,1847,2021,6
484,강남구,59.82,202101,164000,2741,2021,1
485,강남구,59.82,202106,170000,2841,2021,6
486,강남구,85.0,202107,234000,2752,2021,7
487,강남구,85.0,202109,246000,2894,2021,9
488,강남구,101.6,202111,270000,2657,2021,11
489,강남구,59.82,202111,175000,2925,2021,11
490,강남구,59.84,202110,155000,2590,2021,10
491,강남구,145.83,202102,389000,2667,2021,2
492,강남구,145.83,202102,392000,2688,2021,2
493,강남구,161.47,202103,450000,2786,2021,3
494,강남구,161.47,202105,440000,2724,2021,5
495,강남구,161.47,202105,423000,2619,2021,5
496,강남구,121.74,202107,390000,3203,2021,7
497,강남구,145.83,202107,430000,2948,2021,7
498,강남구,145.83,202108,417000,2859,2021,8
499,강남구,161.47,202112,500000,3096,2021,12
500,강남구,161.47,202112,500000,3096,2021,12
501,강남구,151.31,202104,535000,3535,2021,4
502,강남구,84.97,202105,303000,3565,2021,5
503,강남구,84.98,202105,304000,3577,2021,5
504,강남구,84.99,202105,304000,3576,2021,5
505,강남구,114.15,202106,440000,3854,2021,6
506,강남구,84.97,202106,312000,3671,2021,6
507,강남구,94.5,202107,369000,3904,2021,7
508,강남구,84.99,202107,308000,3623,2021,7
509,강남구,94.49,202108,371000,3926,2021,8
510,강남구,94.49,202110,375000,3968,2021,10
511,강남구,94.5,202110,390000,4126,2021,10
512,강남구,84.99,202110,321000,3776,2021,10
513,강남구,94.49,202111,385000,4074,2021,11
514,강남구,91.89,202112,330000,3591,2021,12
515,강남구,94.49,202112,375000,3968,2021,12
516,강남구,94.49,202112,405000,4286,2021,12
517,강남구,110.39,202104,285000,2581,2021,4
518,강남구,110.39,202105,300000,2717,2021,5
519,강남구,110.39,202108,300000,2717,2021,8
520,강남구,150.03,202101,243000,1619,2021,1
521,강남구,117.7,202103,327000,2778,2021,3
522,강남구,136.68,202105,362000,2648,2021,5
523,강남구,136.68,202107,410000,2999,2021,7
524,강남구,127.75,202105,368000,2880,2021,5
525,강남구,84.55,202108,290000,3429,2021,8
526,강남구,127.75,202108,410000,3209,2021,8
527,강남구,84.55,202110,300000,3548,2021,10
528,강남구,84.55,202110,310000,3666,2021,10
529,강남구,28.34,202104,23500,829,2021,4
530,강남구,25.42,202109,23000,904,2021,9
531,강남구,28.34,202110,27800,980,2021,10
532,강남구,28.34,202111,25000,882,2021,11
533,강남구,83.58,202104,164000,1962,2021,4
534,강남구,120.76,202103,290000,2401,2021,3
535,강남구,120.76,202106,305000,2525,2021,6
536,강남구,84.49,202108,255000,3018,2021,8
537,강남구,84.49,202108,255000,3018,2021,8
538,강남구,120.76,202108,305000,2525,2021,8
539,강남구,120.76,202109,305000,2525,2021,9
540,강남구,84.49,202109,225000,2663,2021,9
541,강남구,128.03,202103,300000,2343,2021,3
542,강남구,148.8,202103,324000,2177,2021,3
543,강남구,83.56,202105,240000,2872,2021,5
544,강남구,83.56,202105,237500,2842,2021,5
545,강남구,83.56,202106,248000,2967,2021,6
546,강남구,128.03,202107,313000,2444,2021,7
547,강남구,128.03,202108,310000,2421,2021,8
548,강남구,83.56,202109,136000,1627,2021,9
549,강남구,30.46,202110,25950,851,2021,10
550,강남구,97.85,202102,150000,1532,2021,2
551,강남구,76.79,202101,214500,2793,2021,1
552,강남구,84.43,202101,232000,2747,2021,1
553,강남구,84.43,202101,237000,2807,2021,1
554,강남구,84.43,202101,242000,2866,2021,1
555,강남구,76.79,202101,217000,2825,2021,1
556,강남구,76.79,202102,217000,2825,2021,2
557,강남구,84.43,202102,240000,2842,2021,2
558,강남구,76.79,202102,220000,2864,2021,2
559,강남구,76.79,202102,218000,2838,2021,2
560,강남구,84.43,202102,245000,2901,2021,2
561,강남구,76.79,202103,224000,2917,2021,3
562,강남구,84.43,202103,232000,2747,2021,3
563,강남구,76.79,202103,220000,2864,2021,3
564,강남구,84.43,202103,245000,2901,2021,3
565,강남구,84.43,202104,248000,2937,2021,4
566,강남구,76.79,202104,217500,2832,2021,4
567,강남구,76.79,202104,210000,2734,2021,4
568,강남구,84.43,202104,235000,2783,2021,4
569,강남구,84.43,202104,215200,2548,2021,4
570,강남구,84.43,202104,250000,2961,2021,4
571,강남구,76.79,202104,224500,2923,2021,4
572,강남구,76.79,202105,219000,2851,2021,5
573,강남구,76.79,202105,225000,2930,2021,5
574,강남구,76.79,202105,228000,2969,2021,5
575,강남구,84.43,202105,240000,2842,2021,5
576,강남구,76.79,202106,224800,2927,2021,6
