자치구별,계약월,본번,부번,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도
동작구,7,551.0,4.0,84.0,202107.0,123311.0,1511.0,2021.0
동작구,8,480.0,7.0,80.0,202108.0,122437.0,1550.0,2021.0
동작구,9,496.0,8.0,84.0,202109.0,118596.0,1477.0,2021.0
동작구,10,450.0,6.0,82.0,202110.0,121781.0,1505.0,2021.0
동작구,11,454.0,24.0,75.0,202111.0,120171.0,1541.0,2021.0
동작구,12,366.0,10.0,75.0,202112.0,105009.0,1380.0,2021.0
마포구,1,537.0,3.0,77.0,202101.0,115274.0,1537.0,2021.0
마포구,2,576.0,2.0,75.0,202102.0,109976.0,1476.0,2021.0
마포구,3,453.0,8.0,75.0,202103.0,111512.0,1498.0,2021.0
마포구,4,483.0,8.0,76.0,202104.0,112458.0,1486.0,2021.0
마포구,5,490.0,6.0,75.0,202105.0,109605.0,1461.0,2021.0
마포구,6,479.0,2.0,74.0,202106.0,112885.0,1558.0,2021.0
마포구,7,493.0,2.0,73.0,202107.0,116735.0,1589.0,2021.0
마포구,8,495.0,7.0,73.0,202108.0,118379.0,1635.0,2021.0
마포구,9,478.0,6.0,76.0,202109.0,136500.0,1821.0,2021.0
마포구,10,441.0,8.0,73.0,202110.0,124155.0,1695.0,2021.0
마포구,11,495.0,2.0,79.0,202111.0,131363.0,1598.0,2021.0
마포구,12,519.0,3.0,77.0,202112.0,121646.0,1565.0,2021.0
서대문구,1,439.0,9.0,76.0,202101.0,94344.0,1265.0,2021.0
서대문구,2,382.0,4.0,75.0,202102.0,86719.0,1174.0,2021.0
서대문구,3,381.0,9.0,78.0,202103.0,84983.0,1137.0,2021.0
서대문구,4,374.0,46.0,73.0,202104.0,79710.0,1122.0,2021.0
서대문구,5,424.0,5.0,71.0,202105.0,83151.0,1208.0,2021.0
서대문구,6,441.0,5.0,71.0,202106.0,85446.0,1232.0,2021.0
서대문구,7,445.0,1.0,73.0,202107.0,95532.0,1335.0,2021.0
서대문구,8,431.0,1.0,76.0,202108.0,100015.0,1353.0,2021.0
서대문구,9,448.0,4.0,77.0,202109.0,102873.0,1377.0,2021.0
서대문구,10,479.0,6.0,67.0,202110.0,92071.0,1360.0,2021.0
서대문구,11,378.0,8.0,75.0,202111.0,90574.0,1220.0,2021.0
서대문구,12,400.0,5.0,71.0,202112.0,87746.0,1240.0,2021.0
서초구,1,777.0,7.0,95.0,202101.0,198804.0,2191.0,2021.0
서초구,2,748.0,10.0,96.0,202102.0,193128.0,2083.0,2021.0
서초구,3,816.0,8.0,93.0,202103.0,181517.0,1999.0,2021.0
서초구,4,745.0,9.0,96.0,202104.0,204187.0,2195.0,2021.0
서초구,5,772.0,8.0,102.0,202105.0,204951.0,2169.0,2021.0
서초구,6,760.0,10.0,97.0,202106.0,201091.0,2215.0,2021.0
서초구,7,730.0,12.0,97.0,202107.0,223000.0,2341.0,2021.0
서초구,8,875.0,8.0,92.0,202108.0,212308.0,2297.0,2021.0
서초구,9,857.0,9.0,93.0,202109.0,218819.0,2383.0,2021.0
서초구,10,933.0,9.0,96.0,202110.0,231641.0,2440.0,2021.0
서초구,11,1020.0,7.0,101.0,202111.0,221640.0,2277.0,2021.0
서초구,12,993.0,10.0,89.0,202112.0,195371.0,2070.0,2021.0
성동구,1,587.0,3.0,78.0,202101.0,130166.0,1698.0,2021.0
성동구,2,599.0,28.0,88.0,202102.0,148045.0,1707.0,2021.0
성동구,3,595.0,35.0,81.0,202103.0,147589.0,1826.0,2021.0
성동구,4,585.0,14.0,85.0,202104.0,152792.0,1827.0,2021.0
성동구,5,574.0,31.0,82.0,202105.0,155716.0,1884.0,2021.0
성동구,6,607.0,12.0,80.0,202106.0,140288.0,1761.0,2021.0
성동구,7,594.0,4.0,80.0,202107.0,136705.0,1757.0,2021.0
성동구,8,566.0,4.0,81.0,202108.0,145896.0,1859.0,2021.0
성동구,9,574.0,18.0,76.0,202109.0,145387.0,1919.0,2021.0
