,자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
372,강남구,2020,11,49.86,139000,2787
373,강남구,2020,11,33.18,98000,2953
374,강남구,2020,11,33.18,98000,2953
375,강남구,2020,11,49.86,135000,2707
376,강남구,2020,11,49.86,130500,2617
377,강남구,2020,12,39.53,118000,2985
378,강남구,2020,12,49.86,140000,2807
379,강남구,2020,12,49.86,138000,2767
380,강남구,2020,12,33.18,100000,3013
381,강남구,2020,12,33.18,101300,3053
382,강남구,2020,12,39.53,124500,3149
383,강남구,2020,12,39.53,120000,3035
384,강남구,2020,12,33.18,99000,2983
385,강남구,2020,12,49.86,133500,2677
386,강남구,2020,12,33.18,92000,2772
387,강남구,2020,12,33.18,97000,2923
388,강남구,2020,12,39.53,118000,2985
389,강남구,2020,12,39.53,119000,3010
390,강남구,2020,12,39.53,123000,3111
391,강남구,2020,12,49.86,141500,2837
392,강남구,2020,12,33.18,98000,2953
393,강남구,2020,12,39.53,125000,3162
394,강남구,2020,12,33.18,100000,3013
395,강남구,2020,12,33.18,105000,3164
396,강남구,2020,12,49.86,145000,2908
397,강남구,2020,12,33.18,107000,3224
398,강남구,2020,12,49.86,141000,2827
399,강남구,2020,12,49.86,145000,2908
400,강남구,2020,2,59.96,34300,572
401,강남구,2020,6,78.93,91000,1152
402,강남구,2020,6,79.61,181000,2273
403,강남구,2020,7,78.93,188000,2381
404,강남구,2020,8,79.61,184500,2317
405,강남구,2020,12,79.61,200000,2512
406,강남구,2020,2,84.9,199947,2355
407,강남구,2020,6,100.5,77500,771
408,강남구,2020,12,84.69,72500,856
409,강남구,2020,10,72.78,72000,989
410,강남구,2020,12,133.68,179500,1342
411,강남구,2020,12,133.68,179500,1342
412,강남구,2020,5,95.4,175000,1834
413,강남구,2020,5,95.4,185000,1939
414,강남구,2020,6,128.62,220000,1710
415,강남구,2020,6,95.4,190000,1991
416,강남구,2020,6,177.19,275000,1552
417,강남구,2020,6,177.19,272000,1535
418,강남구,2020,6,177.19,271000,1529
419,강남구,2020,7,177.19,285000,1608
420,강남구,2020,7,128.62,250000,1943
421,강남구,2020,11,128.62,200000,1554
422,강남구,2020,11,177.19,278000,1568
423,강남구,2020,11,95.4,200000,2096
424,강남구,2020,11,177.19,290000,1636
425,강남구,2020,12,128.62,257000,1998
426,강남구,2020,12,176.56,290000,1642
427,강남구,2020,6,131.83,253500,1922
428,강남구,2020,6,165.08,274000,1659
429,강남구,2020,6,131.83,252000,1911
430,강남구,2020,7,165.08,298000,1805
431,강남구,2020,8,165.08,310000,1877
432,강남구,2020,11,165.08,305000,1847
