자치구별,계약월,계약연도,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
광진구,5,2021.0,78.0,52534.0,661.0
광진구,6,2021.0,80.0,51570.0,644.0
광진구,7,2021.0,75.0,50840.0,664.0
광진구,8,2021.0,75.0,49808.0,672.0
광진구,9,2021.0,75.0,52345.0,709.0
광진구,10,2021.0,76.0,53244.0,720.0
광진구,11,2021.0,78.0,52576.0,684.0
광진구,12,2021.0,75.0,50501.0,675.0
구로구,1,2021.0,63.0,22669.0,346.0
구로구,2,2021.0,62.0,26213.0,403.0
구로구,3,2021.0,60.0,26145.0,402.0
구로구,4,2021.0,63.0,27231.0,412.0
구로구,5,2021.0,66.0,30504.0,443.0
구로구,6,2021.0,66.0,29146.0,431.0
구로구,7,2021.0,65.0,29335.0,423.0
구로구,8,2021.0,60.0,19684.0,304.0
구로구,9,2021.0,67.0,22254.0,322.0
구로구,10,2021.0,61.0,21086.0,320.0
구로구,11,2021.0,64.0,28513.0,415.0
구로구,12,2021.0,57.0,19353.0,312.0
금천구,1,2021.0,58.0,26899.0,496.0
금천구,2,2021.0,59.0,26724.0,490.0
금천구,3,2021.0,66.0,23005.0,364.0
금천구,4,2021.0,65.0,21976.0,359.0
금천구,5,2021.0,66.0,23397.0,371.0
금천구,6,2021.0,66.0,23001.0,362.0
금천구,7,2021.0,66.0,24657.0,376.0
금천구,8,2021.0,61.0,25678.0,458.0
금천구,9,2021.0,61.0,26010.0,438.0
금천구,10,2021.0,60.0,26243.0,442.0
금천구,11,2021.0,61.0,25797.0,439.0
금천구,12,2021.0,63.0,28476.0,460.0
노원구,1,2021.0,61.0,24133.0,374.0
노원구,2,2021.0,61.0,24084.0,373.0
노원구,3,2021.0,59.0,22843.0,366.0
노원구,4,2021.0,58.0,21980.0,359.0
노원구,5,2021.0,59.0,23023.0,369.0
노원구,6,2021.0,59.0,23008.0,362.0
노원구,7,2021.0,59.0,23121.0,364.0
노원구,8,2021.0,59.0,23498.0,373.0
노원구,9,2021.0,57.0,21587.0,352.0
노원구,10,2021.0,58.0,22365.0,361.0
노원구,11,2021.0,59.0,24203.0,382.0
노원구,12,2021.0,60.0,24222.0,373.0
도봉구,1,2021.0,64.0,24186.0,359.0
도봉구,2,2021.0,63.0,22559.0,344.0
도봉구,3,2021.0,64.0,21872.0,329.0
도봉구,4,2021.0,63.0,23351.0,367.0
도봉구,5,2021.0,63.0,24354.0,380.0
도봉구,6,2021.0,61.0,22696.0,377.0
도봉구,7,2021.0,64.0,24600.0,377.0
도봉구,8,2021.0,64.0,22700.0,336.0
도봉구,9,2021.0,63.0,23009.0,340.0
도봉구,10,2021.0,63.0,21944.0,327.0
도봉구,11,2021.0,66.0,25744.0,374.0
도봉구,12,2021.0,66.0,23578.0,344.0
동대문구,1,2021.0,59.0,30420.0,521.0
동대문구,2,2021.0,59.0,30916.0,567.0
동대문구,3,2021.0,64.0,32711.0,545.0
동대문구,4,2021.0,63.0,32725.0,547.0
동대문구,5,2021.0,66.0,33789.0,511.0
동대문구,6,2021.0,65.0,33360.0,501.0
동대문구,7,2021.0,59.0,29479.0,468.0
동대문구,8,2021.0,63.0,31731.0,506.0
동대문구,9,2021.0,59.0,27252.0,424.0
동대문구,10,2021.0,68.0,35711.0,549.0
동대문구,11,2021.0,65.0,34217.0,515.0
동대문구,12,2021.0,61.0,32142.0,505.0
동작구,1,2021.0,74.0,44833.0,588.0
