,표준ID,정류장명,ARS-ID,X좌표,Y좌표,gu
107,100000153,혜화경찰서,1249,126.9974787875,37.5725807445,종로구
108,100000154,서울역사박물관.김구집무실(경교장),1250,126.9721318077,37.5699003386,종로구
109,100000155,청계3가.관수교,1251,126.9937793705,37.5686887917,종로구
110,100000156,청계6가.버들다리,1252,127.0080377075,37.5699303868,종로구
111,100000157,청계7가.맑은내다리,1253,127.0129554377,37.5699975315,종로구
112,100000158,청계8가.영도교,1254,127.0182311268,37.5709465856,종로구
113,100000159,원남동사거리,1256,126.9982146839,37.5757228744,종로구
114,100000165,숭인동,1262,127.0204373408,37.5742721533,종로구
115,100000169,조계사,1267,126.9831609226,37.572800338,종로구
116,100000174,세종문화회관,1272,126.9763658004,37.5733335205,종로구
117,100000179,이화동(이화장),1277,127.002955,37.576257,종로구
118,100000180,상명대정문,1278,126.9550207178,37.6016197182,종로구
119,100000181,이북오도청,1279,126.9558882973,37.6130503244,종로구
120,100000188,상명대입구.세검정교회,1286,126.9597921957,37.5994435122,종로구
121,100000189,상명대입구.석파랑,1287,126.9581941404,37.5995718125,종로구
122,100000190,종로중부새마을금고,1288,127.0065911394,37.5724174899,종로구
123,100000191,신설동로터리.신한은행앞.서울풍물시장,1289,127.0231182769,37.5743860974,종로구
124,100000192,청계2가.삼일교,1291,126.9872214307,37.5684458702,종로구
125,100000193,청계8가.황학교,1292,127.0227870051,37.5721307298,종로구
126,100000329,광화문,1762,126.9738331615,37.5703260433,종로구
127,100000330,종로1가,1763,126.980129,37.57037,종로구
128,100000333,종로2가,1766,126.9855751378,37.5699685262,종로구
129,100000334,종로3가,1767,126.9931553118,37.5705896376,종로구
130,100000335,종로3가,1768,126.9909932186,37.5701024255,종로구
131,100000336,종로4가,1769,126.9968799905,37.5704208133,종로구
132,100000338,동대문종합시장종로6가,1771,127.0032060634,37.5707920608,종로구
133,100000343,경복궁역,1777,126.9715056448,37.5761780936,종로구
134,100000344,경복궁역,1778,126.971315603,37.5757554359,종로구
135,100000345,안국역,1779,126.985229602,37.5766137515,종로구
136,100000346,안국역,1780,126.9855059829,37.5763185096,종로구
137,100000347,창덕궁,1781,126.9887919183,37.5775279022,종로구
138,100000348,성대입구,1782,126.9997033431,37.5835875947,종로구
139,100000355,평창동삼성아파트,1293,126.978368,37.610967,종로구
140,100000360,창경궁.고궁호텔.메이플레이스호텔,1733,126.9974492169,37.5765581609,종로구
141,100000362,영천시장,13037,126.963006327,37.5696103835,종로구
142,100000363,영천시장,13036,126.9625329584,37.5699391328,서대문구
143,100000364,동묘앞,1245,127.0178163138,37.5737292199,종로구
144,100000365,동대문(흥인지문),1037,127.0120461121,37.5719529259,종로구
145,100000366,동묘앞,1041,127.0184514373,37.5737255179,종로구
146,100000367,동묘앞,1044,127.0196720085,37.5742434484,종로구
147,100000368,서대문역사거리.적십자병원,1169,126.9675878497,37.5671081521,종로구
148,100000369,안국역.종로경찰서.인사동,1295,126.984768262,37.5764011758,종로구
149,100000370,안국역.종로경찰서.인사동,1294,126.9855365486,37.5763329308,종로구
150,100000371,창덕궁,1296,126.9890031166,37.5772280879,종로구
151,100000374,세종문화회관,1894,126.9765653997,37.5722306242,종로구
152,100000375,인사동.아벤트리호텔,1893,126.983156342,37.5730319178,종로구
153,100000376,강북삼성병원,1165,126.9686004828,37.568145927,종로구
154,100000379,서울역사박물관.경희궁앞,1008,126.970609,37.569412,종로구
155,100000380,서울역사박물관.경희궁앞,1007,126.97038,37.569135,종로구
156,100000384,광화문,1009,126.9752507511,37.570135474,종로구
157,100000385,광화문,1010,126.978085488,37.570216807,종로구
158,100000386,종로1가,1011,126.9809105247,37.5701184824,종로구
159,100000387,종로1가,1012,126.9813906402,37.5702290311,종로구
160,100000388,종로2가,1013,126.9855426998,37.5701386788,종로구
161,100000389,종로2가,1014,126.9862474502,37.5702571998,종로구
162,100000390,종로3가.탑골공원,1015,126.9895646721,37.5702449756,종로구
163,100000391,종로3가.탑골공원,1016,126.9899877751,37.5703605443,종로구
164,100000392,종로4가.종묘,1017,126.9947218896,37.5705069968,종로구
165,100000393,종로4가.종묘,1018,126.9952838124,37.5706271118,종로구
166,100000394,종로5가.광장시장,1019,126.9988498093,37.570756793,종로구
167,100000395,종로5가.광장시장,1020,126.9993346185,37.5708806279,종로구
168,100000396,종로6가.동대문종합시장,1021,127.0034638793,37.5709624756,종로구
169,100000397,종로6가.동대문종합시장,1022,127.0057137364,37.5711272339,종로구
170,100000398,동대문역.흥인지문,1023,127.0134512388,37.5723023219,종로구
171,100000399,JW메리어트동대문호텔,1901,127.0094731042,37.5703018655,종로구
172,100900002,경진빌라,1863,126.9579482257,37.6018640911,종로구
173,100900003,혜화초등학교,1532,126.9998516643,37.5872532276,종로구
174,100900004,명륜시장.성대후문,1864,126.9952305162,37.5887246101,종로구
175,100900005,오거리.한옥마을입구,1530,126.9695411172,37.5794963204,종로구
176,100900006,완성빌라,1865,126.9576665157,37.6033399708,종로구
177,100900007,삼청파출소,1529,126.9812510491,37.581813662,종로구
178,100900008,양현관,1866,126.9937685575,37.5897680031,종로구
179,100900009,종로5가입구.혜화경찰서,1528,126.997541081,37.571747236,종로구
180,100900010,상명대후문,1868,126.9574633677,37.6040715802,종로구
181,100900011,원서고개,1526,126.9878088426,37.583080553,종로구
182,100900012,샘미용실,1869,126.9934084203,37.5902545716,종로구
183,100900013,창신쌍용2단지.한성대후문,1524,127.0127581151,37.5812647965,종로구
184,100900014,산정빌라,1870,126.9575782035,37.6052835831,종로구
185,100900015,경희궁자이2.3단지,1523,126.9640686009,37.5687871134,종로구
186,100900016,오거리,1522,126.9622629001,37.6070621164,종로구
187,100900017,국민생활관,1521,126.9988619666,37.5897456349,종로구
188,100900018,문방구,1872,126.9579809335,37.6061334517,종로구
189,100900019,마트앞,1873,126.958756466,37.6066987064,종로구
190,100900020,통인시장,1519,126.9687504304,37.5804530718,종로구
191,100900021,양현관,1520,126.9936043615,37.5897914226,종로구
192,100900022,국민은행.세검정지점,1874,126.9607859545,37.6048873133,종로구
193,100900023,화정박물관,1875,126.965686732,37.604859104,종로구
194,100900024,삼청동주민센터,1518,126.9819071619,37.5842638281,종로구
195,100900025,세검초등학교,1517,126.9614907597,37.6042522792,종로구
196,100900026,빨래터,1516,126.9893714358,37.582659895,종로구
197,100900027,혜화역4번출구,1876,127.0014561074,37.5834632357,종로구
198,100900028,방송통신대앞,1877,127.0019926794,37.5786973612,종로구
199,100900029,평화동물병원,1513,126.9652007897,37.6049806084,종로구
200,100900030,서울대치과대학,1878,126.9978748922,37.5773060748,종로구
201,100900031,서울국제고등학교,1512,126.9972902593,37.5890715947,종로구
202,100900032,샘미용실,1511,126.9932227051,37.5903095275,종로구
203,100900033,효제초교.연동교회.김마리아활동터,1879,127.0022087811,37.5736413355,종로구
204,100900034,박노수미술관,1510,126.966603478,37.5809967425,종로구
205,100900035,금융연수원,1509,126.9815691643,37.5865984991,종로구
206,100900036,평화동물병원,1508,126.9648837454,37.6048011982,종로구
207,100900037,세탁소,1507,126.9893670844,37.5814109836,종로구
208,100900038,서울대치과대학,1883,126.9977741191,37.5776016307,종로구
209,100900039,낙산공원,1506,127.0087215681,37.5804037213,종로구
210,100900040,명륜3가종점,1503,126.9928636796,37.5909483783,종로구
211,100900041,수성동계곡,1502,126.964246771,37.5820791626,종로구
212,100900042,서울대학교병원현관.암병원현관,1887,126.9981567653,37.5789514712,종로구
213,100900043,이화사거리,1886,127.0020084833,37.5769483437,종로구
214,100900044,서대문3번출구,1505,126.9662183105,37.5664160731,종로구
215,100900045,통일부,1525,126.9859476734,37.5875948053,종로구
216,100900046,명륜시장.성대후문,1531,126.9952543092,37.5885110529,종로구
217,100900047,평창파출소,1500,126.9668167021,37.605681218,종로구
218,100900048,가회동주민센터,1564,126.9848497239,37.5799390098,종로구
219,100900049,독립문초등학교,1562,126.9607207234,37.5738474794,종로구
220,100900050,아름다운실버,1561,126.965463701,37.6120100581,종로구
221,100900051,창덕궁,1558,126.9906200153,37.5760892484,종로구
222,100900052,북촌한옥마을입구.정세권활동터,1556,126.9849422317,37.5815997311,종로구
223,100900053,청룡사.보문파크뷰자이아파트,1555,127.01700714,37.5800189539,종로구
224,100900054,소나무집,1553,126.964110466,37.6112770717,종로구
225,100900055,경복궁역,1552,126.9722764647,37.5766774815,종로구
226,100900056,경복궁,1551,126.9793377561,37.576950157,종로구
227,100900057,종로3가.1.3.5호선,1550,126.9921806628,37.5710729861,종로구
