,NODE_ID,NODE_NM,NODE_TP,CENTER_YN,ADMIN_NM,REMARK,NODE_CL,NODE_SUB_TP,NODE_ENM,위도,경도,CITY_CD,DISTRICT_ID,COLLECTD_TIME,ORG_ID,ADMIN_ID,OFFSET,DIRECTION,DOWNTOWN_YN,NODE_MOBILE_ID,CITY_CODE,도시명,gu
125,SEB105000136,답십리래미안위브아파트,,,,,,,,37.5726978,127.0547603,,,2020-09-24 07:32:12,,,,,,6222.0,11,서울특별시,동대문구
126,SEB105000141,답십리2동한양아파트앞,,,,,,,,37.5726702,127.0614069,,,2020-09-24 07:32:12,,,,,,6227.0,11,서울특별시,동대문구
127,SEB105000150,국민은행장안동지점,,,,,,,,37.5720249,127.0741187,,,2020-09-24 07:32:12,,,,,,6236.0,11,서울특별시,동대문구
128,SEB112000004,DMC래미안e.편한세상요진아파트,,,,,,,,37.571577,126.910313,,,2020-09-24 07:32:12,,,,,,13004.0,11,서울특별시,서대문구
129,SEB111000004,수색교,,,,,,,,37.5854,126.889241,,,2020-09-24 07:32:12,,,,,,12004.0,11,서울특별시,은평구
130,SEB106000097,면일초등학교,,,,,,,,37.5917862,127.0982687,,,2020-09-24 07:32:12,,,,,,7191.0,11,서울특별시,중랑구
131,SEB106000069,봉우재고개,,,,,,,,37.595112,127.0973048,,,2020-09-24 07:32:12,,,,,,7163.0,11,서울특별시,중랑구
132,SEB106000055,KT중랑지점,,,,,,,,37.5907703,127.0782592,,,2020-09-24 07:32:12,,,,,,7149.0,11,서울특별시,중랑구
133,SEB113000128,합정역,,,,,,,,37.5510604,126.9156095,,,2020-09-24 07:32:12,,,,,,14219.0,11,서울특별시,마포구
134,SEB113000014,월드컵경기장남측.월드컵공원,,,,,,,,37.5667212,126.8961844,,,2020-09-24 07:32:12,,,,,,14104.0,11,서울특별시,마포구
135,SEB113000026,월드컵파크3단지정문,,,,,,,,37.573822,126.889228,,,2020-09-24 07:32:12,,,,,,14116.0,11,서울특별시,마포구
136,SEB113000012,마포구청,,,,,,,,37.5649023,126.9018904,,,2020-09-24 07:32:12,,,,,,14102.0,11,서울특별시,마포구
137,SEB113000162,마포구청역입구,,,,,,,,37.5605946,126.9057249,,,2020-09-24 07:32:12,,,,,,14253.0,11,서울특별시,마포구
