,정류소ID,ARS-ID,정류소명,X좌표,Y좌표,gu
87,100000073,1168,서대문.서울시교육청,126.9645273,37.56825381,종로구
88,100000368,1169,서대문역사거리.적십자병원,126.9675878,37.56710815,종로구
89,100000075,1171,독립문,126.9615633,37.57117332,종로구
90,100000076,1172,창덕궁.서울돈화문국악당,126.9885394,37.57754057,종로구
91,100000077,1173,서린동.SK서린빌딩,126.9802682,37.56924238,종로구
92,100000078,1174,청계1가.광교,126.9849267,37.56868439,종로구
93,100000079,1175,청계2가.수표교,126.9915405,37.56861789,종로구
94,100000080,1176,청계4가.세운교,126.9964906,37.56886912,종로구
95,100000081,1177,청계5가.광장시장,126.9997974,37.56945128,종로구
96,100000102,1198,원남동,126.9973383,37.57453251,종로구
97,100000103,1199,창덕궁.우리소리박물관,126.9886349,37.57727286,종로구
98,100000104,1200,안국역.종로경찰서.인사동,126.9842426,37.5757849,종로구
99,100000105,1201,조계사,126.9831556,37.57252231,종로구
100,100000106,1202,조계사,126.9828259,37.57248581,종로구
101,100000107,1203,안국동,126.9827201,37.57461057,종로구
102,100000108,1204,종로5가.효제동.김상옥의거터,127.00223,37.5745,종로구
103,100000109,1205,종로5가.효제초등학교,127.0021442,37.57287901,종로구
104,100000414,1209,창덕궁.돈화문국악당,126.9910846,37.5773031,종로구
105,100000116,1212,종로5가,127.0021827,37.5705596,종로구
106,100000117,1213,청계6가.동대문시장,127.0028494,37.56983511,종로구
107,100000118,1214,동대문,127.0084126,37.57172624,종로구
108,100000119,1215,충신동,127.0062788,37.57402235,종로구
109,100000121,1217,충신동,127.0063434,37.57446028,종로구
110,100000122,1218,현대그룹빌딩,127.000533,37.575873,종로구
111,100000123,1219,방송통신대.이화장,127.002437,37.578043,종로구
112,100000124,1220,혜화역.마로니에공원,127.0022769,37.58111949,종로구
113,100000125,1221,혜화역.서울대병원입구,127.0019395,37.58106363,종로구
114,100000126,1222,방송통신대.이화장,127.0019938,37.57812967,종로구
115,100000127,1223,이화동(이화장),127.0006951,37.57611936,종로구
116,100000128,1224,창경궁.서울대학교병원,126.9968717,37.57882799,종로구
117,100000129,1225,이화동(이화장),127.0032708,37.57593729,종로구
118,100000130,1226,혜화동로터리,127.0007247,37.58576463,종로구
119,100000131,1227,명륜동2가.성균관대입구,126.9993988,37.58333349,종로구
120,100000132,1228,혜화역.서울연극센터(장면총리가옥),127.0013282,37.58402281,종로구
121,100000133,1229,혜화역.동성중고(장면총리가옥),127.0017177,37.58456977,종로구
122,100000135,1231,종로구민회관.창신동두산아파트,127.0155555,37.57409268,종로구
