,자치구별,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
194,강남구,94.8407,202010,309000,3258,2020,10
195,강남구,84.3558,202010,289000,3425,2020,10
196,강남구,49.4013,202011,172500,3491,2020,11
197,강남구,59.7479,202011,217000,3631,2020,11
198,강남구,59.7479,202011,217000,3631,2020,11
199,강남구,84.357,202012,284000,3366,2020,12
200,강남구,76.1709,202012,265000,3479,2020,12
201,강남구,59.8732,202012,210000,3507,2020,12
202,강남구,76.1709,202012,274000,3597,2020,12
203,강남구,76.1709,202012,264000,3465,2020,12
204,강남구,59.897,202001,188000,3138,2020,1
205,강남구,59.967,202002,175000,2918,2020,2
206,강남구,84.943,202002,244000,2872,2020,2
207,강남구,84.943,202002,243000,2860,2020,2
208,강남구,84.94,202003,263000,3096,2020,3
209,강남구,59.967,202004,180000,3001,2020,4
210,강남구,59.967,202004,185000,3085,2020,4
211,강남구,84.94,202005,251000,2955,2020,5
212,강남구,84.943,202005,230000,2707,2020,5
213,강남구,113.732,202005,300000,2637,2020,5
214,강남구,84.95,202005,230000,2707,2020,5
215,강남구,84.94,202006,243000,2860,2020,6
216,강남구,84.94,202006,251000,2955,2020,6
217,강남구,59.967,202006,189000,3151,2020,6
218,강남구,84.943,202006,260000,3060,2020,6
219,강남구,49.909,202006,155000,3105,2020,6
220,강남구,49.909,202006,155000,3105,2020,6
221,강남구,99.967,202006,280000,2800,2020,6
222,강남구,99.919,202006,310000,3102,2020,6
223,강남구,84.94,202006,270000,3178,2020,6
224,강남구,99.991,202007,290000,2900,2020,7
225,강남구,59.837,202007,196000,3275,2020,7
226,강남구,84.943,202007,248000,2919,2020,7
227,강남구,84.95,202007,264000,3107,2020,7
228,강남구,99.967,202007,280000,2800,2020,7
229,강남구,59.967,202007,200000,3335,2020,7
230,강남구,59.967,202007,200000,3335,2020,7
231,강남구,126.928,202007,355000,2796,2020,7
232,강남구,84.94,202007,265000,3119,2020,7
233,강남구,59.967,202008,200000,3335,2020,8
234,강남구,84.943,202008,280000,3296,2020,8
235,강남구,99.979,202008,315000,3150,2020,8
236,강남구,59.967,202009,197000,3285,2020,9
237,강남구,99.967,202010,296500,2965,2020,10
238,강남구,99.991,202010,299000,2990,2020,10
239,강남구,84.943,202010,270000,3178,2020,10
240,강남구,59.967,202010,195000,3251,2020,10
241,강남구,59.967,202010,184000,3068,2020,10
242,강남구,99.991,202012,300000,3000,2020,12
243,강남구,59.967,202012,210000,3501,2020,12
244,강남구,84.94,202012,265000,3119,2020,12
245,강남구,59.967,202012,210000,3501,2020,12
246,강남구,84.16,202003,62000,736,2020,3
247,강남구,83.62,202006,65000,777,2020,6
248,강남구,107.88,202008,80500,746,2020,8
249,강남구,60.0,202001,146000,2433,2020,1
250,강남구,39.53,202001,100500,2542,2020,1
251,강남구,39.53,202002,100500,2542,2020,2
252,강남구,51.12,202002,123000,2406,2020,2
253,강남구,51.12,202002,126750,2479,2020,2
254,강남구,60.0,202003,138000,2300,2020,3
255,강남구,39.53,202004,103500,2618,2020,4
256,강남구,51.12,202004,115000,2249,2020,4
257,강남구,51.12,202005,115500,2259,2020,5
258,강남구,60.0,202005,130300,2171,2020,5
259,강남구,60.0,202006,132000,2200,2020,6
260,강남구,60.0,202006,129000,2150,2020,6
261,강남구,39.53,202006,105000,2656,2020,6
262,강남구,39.53,202006,104000,2630,2020,6
263,강남구,39.53,202006,100000,2529,2020,6
264,강남구,39.53,202006,105000,2656,2020,6
265,강남구,51.12,202006,120000,2347,2020,6
266,강남구,51.12,202006,120000,2347,2020,6
267,강남구,51.12,202006,130000,2543,2020,6
268,강남구,39.53,202006,110000,2782,2020,6
269,강남구,39.53,202006,117000,2959,2020,6
270,강남구,60.0,202006,150000,2500,2020,6
271,강남구,60.0,202006,150000,2500,2020,6
272,강남구,39.53,202007,111000,2807,2020,7
273,강남구,60.0,202007,148800,2480,2020,7
274,강남구,39.53,202007,113000,2858,2020,7
275,강남구,60.0,202008,154000,2566,2020,8
276,강남구,60.0,202008,144000,2400,2020,8
277,강남구,60.0,202009,149000,2483,2020,9
278,강남구,51.12,202009,136000,2660,2020,9
279,강남구,60.0,202010,153500,2558,2020,10
