,자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
202,강남구,2019,11,50.38,215000,4267
203,강남구,2019,11,50.38,218000,4327
204,강남구,2019,11,35.44,179000,5050
205,강남구,2019,11,41.98,205000,4883
206,강남구,2019,11,50.64,215000,4245
207,강남구,2019,11,56.57,286500,5064
208,강남구,2019,11,50.64,215000,4245
209,강남구,2019,12,41.98,204000,4859
210,강남구,2019,12,50.38,220000,4366
211,강남구,2019,12,35.64,153000,4292
212,강남구,2019,12,41.98,205000,4883
213,강남구,2019,12,50.64,223000,4403
214,강남구,2019,12,50.38,215000,4267
215,강남구,2019,12,50.38,223000,4426
216,강남구,2019,12,50.64,223000,4403
217,강남구,2019,12,58.08,260000,4476
218,강남구,2019,12,50.64,230000,4541
219,강남구,2019,12,41.98,186000,4430
220,강남구,2019,12,35.87,250000,6969
221,강남구,2019,12,50.38,255000,5061
222,강남구,2019,1,42.55,140500,3301
223,강남구,2019,1,42.55,139000,3266
224,강남구,2019,1,41.99,137000,3262
225,강남구,2019,10,35.87,182000,5073
226,강남구,2019,1,83.17,176000,2116
227,강남구,2019,2,74.25,153500,2067
228,강남구,2019,2,61.19,134500,2198
229,강남구,2019,3,74.25,158000,2127
230,강남구,2019,4,61.19,130000,2124
231,강남구,2019,4,83.17,175500,2110
232,강남구,2019,4,53.98,127300,2358
233,강남구,2019,5,83.17,180000,2164
234,강남구,2019,5,74.25,171000,2303
235,강남구,2019,5,61.19,150000,2451
236,강남구,2019,6,74.25,174700,2352
237,강남구,2019,6,74.25,170900,2301
238,강남구,2019,6,61.19,154000,2516
239,강남구,2019,6,74.25,181000,2437
240,강남구,2019,6,53.98,155000,2871
241,강남구,2019,6,83.17,182000,2188
242,강남구,2019,7,61.19,159500,2606
243,강남구,2019,7,53.98,151000,2797
244,강남구,2019,8,74.25,181000,2437
245,강남구,2019,8,83.17,195000,2344
246,강남구,2019,8,83.17,194000,2332
247,강남구,2019,9,83.17,195000,2344
248,강남구,2019,9,53.98,155000,2871
249,강남구,2019,9,74.25,186000,2505
250,강남구,2019,9,53.98,155000,2871
251,강남구,2019,10,74.25,187000,2518
252,강남구,2019,10,61.19,165000,2696
253,강남구,2019,10,61.19,167000,2729
254,강남구,2019,11,74.25,195000,2626
255,강남구,2019,1,60.13,135000,2245
256,강남구,2019,2,60.13,130000,2161
257,강남구,2019,3,53.06,118000,2223
258,강남구,2019,3,73.02,152000,2081
259,강남구,2019,3,60.13,133000,2211
260,강남구,2019,4,53.06,118000,2223
261,강남구,2019,4,60.13,135800,2258
262,강남구,2019,4,83.21,165000,1982
263,강남구,2019,4,60.13,138000,2295
264,강남구,2019,5,53.06,127000,2393
265,강남구,2019,5,53.06,134500,2534
266,강남구,2019,6,83.21,181000,2175
267,강남구,2019,6,60.13,150000,2494
268,강남구,2019,6,73.02,170000,2328
269,강남구,2019,6,83.21,189000,2271
270,강남구,2019,6,73.02,179000,2451
271,강남구,2019,7,60.13,159000,2644
272,강남구,2019,7,73.02,181000,2478
273,강남구,2019,8,53.06,146500,2761
274,강남구,2019,8,83.21,191000,2295
275,강남구,2019,9,60.13,158000,2627
276,강남구,2019,9,73.02,182000,2492
277,강남구,2019,9,60.13,155300,2582
278,강남구,2019,9,73.02,184500,2526
279,강남구,2019,9,83.21,190000,2283
280,강남구,2019,9,73.02,181000,2478
281,강남구,2019,9,53.06,150000,2826
282,강남구,2019,10,60.13,160000,2660
283,강남구,2019,10,83.21,197000,2367
