,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명,gu
79,SEB119900266,삼성래미안.동작청소년문화의집,,,,37.5056038,126.9344505,2021/09/16 07:31:03,20593.0,11,서울특별시,동작구
80,SEB119000136,상도SH빌아파트상도팰리스후문,,,,37.5031415,126.9542926,2021/09/16 07:31:03,20242.0,11,서울특별시,동작구
81,SEB119900255,중앙대중문,,,,37.5064893,126.9573559,2021/09/16 07:31:03,20896.0,11,서울특별시,동작구
82,SEB119000084,사당중학교,,,,37.4866369,126.9681789,2021/09/16 07:31:03,20177.0,11,서울특별시,동작구
83,SEB119000027,사육신공원,,,,37.513315,126.947977,2021/09/16 07:31:03,20119.0,11,서울특별시,동작구
84,SEB119900165,대방목욕탕,,,,37.5071633,126.9322287,2021/09/16 07:31:03,20814.0,11,서울특별시,동작구
85,SEB118000012,보라매공원,,,,37.4969862,126.9166068,2021/09/16 07:31:03,19012.0,11,서울특별시,동작구
86,SEB119000059,동작문화복지센터.동작보건소,,,,37.5049377,126.9407908,2021/09/16 07:31:03,20152.0,11,서울특별시,동작구
87,SEB119900212,행복유치원,,,,37.4957521,126.9412493,2021/09/16 07:31:03,20956.0,11,서울특별시,동작구
88,SEB119900041,청운종합복지관,,,,37.4955668,126.9334403,2021/09/16 07:31:03,20556.0,11,서울특별시,동작구
89,SEB119900164,본동초등학교,,,,37.5107266,126.953555,2021/09/16 07:31:03,20815.0,11,서울특별시,동작구
90,SEB119900309,밤골.상도역,,,,37.502152,126.9455943,2021/09/16 07:31:03,20699.0,11,서울특별시,동작구
91,SEB119900301,동작구민체육센터.기상청,,,,37.49424,126.917242,2021/09/16 07:31:03,20974.0,11,서울특별시,동작구
92,SEB119900115,제일성민교회,,,,37.4953914,126.9373309,2021/09/16 07:31:03,20881.0,11,서울특별시,동작구
93,SEB119900225,7호선신대방삼거리역2번출구.국민은행,,,,37.4986476,126.9286659,2021/09/16 07:31:03,20943.0,11,서울특별시,동작구
94,SEB119000138,상도3차삼성래미안후문,,,,37.5009407,126.9535689,2021/09/16 07:31:03,20244.0,11,서울특별시,동작구
95,SEB119900162,강남교회.오거리,,,,37.5102778,126.9449289,2021/09/16 07:31:03,20819.0,11,서울특별시,동작구
96,SEB119000002,신대방경남아파트,,,,37.4902988,126.9077697,2021/09/16 07:31:03,20002.0,11,서울특별시,동작구
97,SEB119900050,남성초등학교.사당청소년문화의집,,,,37.4860104,126.9748407,2021/09/16 07:31:03,20546.0,11,서울특별시,동작구
98,SEB119900075,이수역,,,,37.4850014,126.9806261,2021/09/16 07:31:03,20511.0,11,서울특별시,동작구
99,SEB119900123,대방교회,,,,37.5039714,126.9230394,2021/09/16 07:31:03,20870.0,11,서울특별시,동작구
100,SEB119000004,보라매공원,,,,37.496812,126.9163209,2021/09/16 07:31:03,20004.0,11,서울특별시,동작구
101,SEB119900280,두산위브아파트,,,,37.4848777,126.9708754,2021/09/16 07:31:03,20990.0,11,서울특별시,동작구
102,SEB119900089,유앤미아파트,,,,37.5009535,126.9600159,2021/09/16 07:31:03,20914.0,11,서울특별시,동작구
103,SEB119900177,동작고교.사당5동주민센터,,,,37.4850994,126.9674875,2021/09/16 07:31:03,20794.0,11,서울특별시,동작구
104,SEB119000098,동작구청.노량진초등학교앞,,,,37.510453,126.940337,2021/09/16 07:31:03,20191.0,11,서울특별시,동작구
105,SEB119900178,동작삼일수영장,,,,37.4871765,126.9747872,2021/09/16 07:31:03,20792.0,11,서울특별시,동작구
106,SEB119000126,경향렉스빌.롯데캐슬,,,,37.4959295,126.9429139,2021/09/16 07:31:03,20221.0,11,서울특별시,동작구
107,SEB119900071,대림아파트후문,,,,37.4886519,126.9721846,2021/09/16 07:31:03,20518.0,11,서울특별시,동작구
108,SEB119000317,래미안상도3차중문,,,,37.5000172,126.9538399,2021/09/16 07:31:03,20233.0,11,서울특별시,동작구
109,SEB119900099,신동아아파트701동앞,,,,37.5075024,126.9429719,2021/09/16 07:31:03,20902.0,11,서울특별시,동작구
110,SEB119900169,7호선신대방삼거리역4번출구,,,,37.4998232,126.9267443,2021/09/16 07:31:03,20808.0,11,서울특별시,동작구
111,SEB119000071,숭실대입구역,,,,37.4967449,126.9528636,2021/09/16 07:31:03,20164.0,11,서울특별시,동작구
112,SEB119900253,숭실대입구역2번출구,,,,37.4961152,126.9534532,2021/09/16 07:31:03,20810.0,11,서울특별시,동작구
113,SEB119000048,사당1동관악시장앞,,,,37.47679,126.977952,2021/09/16 07:31:03,20141.0,11,서울특별시,동작구
114,SEB119900129,삼성래미안아파트,,,,37.5103454,126.9510847,2021/09/16 07:31:03,20864.0,11,서울특별시,동작구
115,SEB119000134,동작구청정문,,,,37.5123768,126.9400621,2021/09/16 07:31:03,20240.0,11,서울특별시,동작구
116,SEB120900167,신한은행앞.롯데백화점,,,,37.4904808,126.9242406,2021/09/16 07:31:03,21908.0,11,서울특별시,동작구
117,SEB119900245,상도은빛어르신복지관.터널경로당,,,,37.5065409,126.9509537,2021/09/16 07:31:03,20875.0,11,서울특별시,동작구
118,SEB119000026,사육신공원,,,,37.5133746,126.946188,2021/09/16 07:31:03,20117.0,11,서울특별시,동작구
119,SEB119000094,신대방삼거리,,,,37.4981427,126.9282287,2021/09/16 07:31:03,20187.0,11,서울특별시,동작구
120,SEB119900205,건영아파트,,,,37.5078829,126.9515987,2021/09/16 07:31:03,20686.0,11,서울특별시,동작구
121,SEB119900224,푸른초장교회,,,,37.4977131,126.9300251,2021/09/16 07:31:03,20944.0,11,서울특별시,동작구
122,SEB119000116,동작상떼빌아파트,,,,37.4882537,126.9071028,2021/09/16 07:31:03,20209.0,11,서울특별시,동작구
123,SEB119000021,공군호텔,,,,37.5100106,126.924541,2021/09/16 07:31:03,20107.0,11,서울특별시,동작구
124,SEB119900110,대림아파트,,,,37.5053838,126.9466416,2021/09/16 07:31:03,20887.0,11,서울특별시,동작구
125,SEB119900248,상도3동주민센터,,,,37.4991727,126.9312735,2021/09/16 07:31:03,20591.0,11,서울특별시,동작구
126,SEB119900012,신대방1동주민센터,,,,37.4870409,126.9095785,2021/09/16 07:31:03,20589.0,11,서울특별시,동작구
127,SEB119900073,신대방삼거리역,,,,37.4999673,126.9281819,2021/09/16 07:31:03,20513.0,11,서울특별시,동작구
128,SEB119900259,테니스장.우성아파트304동,,,,37.4906189,126.9759361,2021/09/16 07:31:03,20829.0,11,서울특별시,동작구
129,SEB119000285,사당동우체국앞,,,,37.4832273,126.9819451,2021/09/16 07:31:03,20019.0,11,서울특별시,동작구
130,SEB119000088,사당시장,,,,37.4835063,126.9730387,2021/09/16 07:31:03,20181.0,11,서울특별시,동작구
131,SEB119900302,동작구민체육센터.기상청,,,,37.4944139,126.9171796,2021/09/16 07:31:03,20975.0,11,서울특별시,동작구
132,SEB119900151,대방역2번출구앞,,,,37.5127789,126.927588,2021/09/16 07:31:03,20834.0,11,서울특별시,동작구
133,SEB119900005,사회복지관앞,,,,37.5060671,126.933078,2021/09/16 07:31:03,20673.0,11,서울특별시,동작구
134,SEB119900282,상도3동주민센터,,,,37.4995035,126.9298933,2021/09/16 07:31:03,20988.0,11,서울특별시,동작구
135,SEB119000056,상도초등학교입구,,,,37.5033055,126.9367655,2021/09/16 07:31:03,20149.0,11,서울특별시,동작구
136,SEB119900038,삼거리우편물취급소,,,,37.4841645,126.9770554,2021/09/16 07:31:03,20560.0,11,서울특별시,동작구
137,SEB119000288,정금마을.방배경찰서,,,,37.4941038,126.9827318,2021/09/16 07:31:03,20016.0,11,서울특별시,동작구
138,SEB119000087,사당시장,,,,37.483569,126.9734201,2021/09/16 07:31:03,20180.0,11,서울특별시,동작구
139,SEB119900234,보라매공원,,,,37.4944473,126.9182547,2021/09/16 07:31:03,20930.0,11,서울특별시,동작구
140,SEB119000014,노들역,,,,37.5127342,126.9509621,2021/09/16 07:31:03,20014.0,11,서울특별시,동작구
141,SEB119900289,동양중학교,,,,37.5091142,126.9548036,2021/09/16 07:31:03,20980.0,11,서울특별시,동작구
142,SEB119900200,남부교회,,,,37.5089709,126.932287,2021/09/16 07:31:03,20700.0,11,서울특별시,동작구
143,SEB119900046,영은교회,,,,37.4943957,126.934095,2021/09/16 07:31:03,20550.0,11,서울특별시,동작구
144,SEB119900103,신동아상가,,,,37.5081301,126.9460741,2021/09/16 07:31:03,20897.0,11,서울특별시,동작구
145,SEB119900134,본동시장,,,,37.5122399,126.9519737,2021/09/16 07:31:03,20856.0,11,서울특별시,동작구
146,SEB119000124,신상도초등학교,,,,37.4993739,126.9436736,2021/09/16 07:31:03,20219.0,11,서울특별시,동작구
147,SEB119900204,갯마을,,,,37.4963331,126.9826635,2021/09/16 07:31:03,20694.0,11,서울특별시,동작구
148,SEB119000025,노량진역,,,,37.5138535,126.9433483,2021/09/16 07:31:03,20115.0,11,서울특별시,동작구
149,SEB119900003,대림프라자,,,,37.4834954,126.9745803,2021/09/16 07:31:03,20675.0,11,서울특별시,동작구
150,SEB119900231,신동아상가,,,,37.5087596,126.951407,2021/09/16 07:31:03,20933.0,11,서울특별시,동작구
151,SEB119900263,삼거리,,,,37.4855998,126.9683026,2021/09/16 07:31:03,20541.0,11,서울특별시,동작구
152,SEB119000127,경향렉스빌.롯데캐슬,,,,37.4959853,126.9427352,2021/09/16 07:31:03,20222.0,11,서울특별시,동작구
153,SEB119900088,동원베네스트,,,,37.5032059,126.9447645,2021/09/16 07:31:03,20915.0,11,서울특별시,동작구
154,SEB119900299,대방중학교,,,,37.4955041,126.9143748,2021/09/16 07:31:03,20971.0,11,서울특별시,동작구
155,SEB119000139,상도1동주민센터.상도3차래미안,,,,37.4986608,126.9532186,2021/09/16 07:31:03,20245.0,11,서울특별시,동작구
156,SEB119000030,흑석동효사정앞,,,,37.511297,126.96101,2021/09/16 07:31:03,20123.0,11,서울특별시,동작구
157,SEB119900148,신동아상가,,,,37.5079978,126.9463253,2021/09/16 07:31:03,20839.0,11,서울특별시,동작구
158,SEB119000077,숭실대정문앞,,,,37.4953183,126.9572808,2021/09/16 07:31:03,20170.0,11,서울특별시,동작구
159,SEB119900070,자이아파트상가앞,,,,37.4886828,126.9631559,2021/09/16 07:31:03,20519.0,11,서울특별시,동작구
160,SEB119900059,숭실대후문,,,,37.4950952,126.9610345,2021/09/16 07:31:03,20535.0,11,서울특별시,동작구
161,SEB119900152,삼성래미안.동작청소년문화의집,,,,37.5055356,126.934817,2021/09/16 07:31:03,20833.0,11,서울특별시,동작구
162,SEB119000099,장성교회,,,,37.508211,126.9399682,2021/09/16 07:31:03,20192.0,11,서울특별시,동작구
163,SEB119900237,신대방우성아파트앞,,,,37.493343,126.9103818,2021/09/16 07:31:03,20927.0,11,서울특별시,동작구
164,SEB119900095,동작우체국,,,,37.4977295,126.924507,2021/09/16 07:31:03,20907.0,11,서울특별시,동작구
165,SEB119900146,예스플러스,,,,37.5039638,126.9224942,2021/09/16 07:31:03,20842.0,11,서울특별시,동작구
166,SEB119900257,극동아파트110동,,,,37.4903636,126.9746719,2021/09/16 07:31:03,20516.0,11,서울특별시,동작구
167,SEB119900223,백경세탁소,,,,37.4965907,126.9307149,2021/09/16 07:31:03,20945.0,11,서울특별시,동작구
168,SEB119000032,흑석역.흑석동빗물펌프장,,,,37.5083232,126.9633103,2021/09/16 07:31:03,20125.0,11,서울특별시,동작구
169,SEB119900173,삼호APT.오네뜨아파트,,,,37.4865452,126.9656301,2021/09/16 07:31:03,20802.0,11,서울특별시,동작구
170,SEB119900203,현대아파트,,,,37.5120526,126.9320467,2021/09/16 07:31:03,20695.0,11,서울특별시,동작구
171,SEB119900157,사회복지관앞,,,,37.5059022,126.9330952,2021/09/16 07:31:03,20825.0,11,서울특별시,동작구
172,SEB119000078,숭실대별관앞,,,,37.494639,126.9602929,2021/09/16 07:31:03,20171.0,11,서울특별시,동작구
173,SEB119000072,숭실대입구역,,,,37.4961666,126.9533491,2021/09/16 07:31:03,20165.0,11,서울특별시,동작구
174,SEB119000011,노량진역,,,,37.513733,126.943811,2021/09/16 07:31:03,20011.0,11,서울특별시,동작구
175,SEB119900171,남부교회,,,,37.5091952,126.9320719,2021/09/16 07:31:03,20804.0,11,서울특별시,동작구
176,SEB119900292,흑석동주민센터,,,,37.5058669,126.9664605,2021/09/16 07:31:03,20970.0,11,서울특별시,동작구
177,SEB119000028,노들역,,,,37.5128098,126.9508931,2021/09/16 07:31:03,20121.0,11,서울특별시,동작구
178,SEB119900138,7호선장승배기역5번출구,,,,37.5050962,126.9389753,2021/09/16 07:31:03,20851.0,11,서울특별시,동작구
179,SEB119900149,노량진역,,,,37.5137237,126.9414536,2021/09/16 07:31:03,20837.0,11,서울특별시,동작구
180,SEB119900043,갑을명가,,,,37.4825265,126.9666767,2021/09/16 07:31:03,20554.0,11,서울특별시,동작구
181,SEB119900062,구중앙슈퍼앞,,,,37.4946119,126.9355039,2021/09/16 07:31:03,20529.0,11,서울특별시,동작구
182,SEB119900145,KT동작전화국,,,,37.5123694,126.9345611,2021/09/16 07:31:03,20843.0,11,서울특별시,동작구
183,SEB119900040,은로초등학교,,,,37.5034673,126.9609555,2021/09/16 07:31:03,20557.0,11,서울특별시,동작구
184,SEB119000140,상도1동주민센터.상도3차래미안,,,,37.4980895,126.9532043,2021/09/16 07:31:03,20246.0,11,서울특별시,동작구
185,SEB119900154,자이아파트정문앞,,,,37.4893053,126.9628435,2021/09/16 07:31:03,20830.0,11,서울특별시,동작구
186,SEB119000133,동작역.국립현충원,,,,37.502939,126.9769173,2021/09/16 07:31:03,20231.0,11,서울특별시,동작구
187,SEB119000013,노들역,,,,37.512825,126.949256,2021/09/16 07:31:03,20013.0,11,서울특별시,동작구
188,SEB119900218,당곡중.고등학교,,,,37.492898,126.9354998,2021/09/16 07:31:03,20950.0,11,서울특별시,동작구
189,SEB119900168,우성아파트,,,,37.5083531,126.9471191,2021/09/16 07:31:03,20809.0,11,서울특별시,동작구
190,SEB119900087,전문건설회관.보라매병원,,,,37.4923779,126.9246888,2021/09/16 07:31:03,20916.0,11,서울특별시,동작구
191,SEB119000083,사당중학교,,,,37.4864269,126.9680184,2021/09/16 07:31:03,20176.0,11,서울특별시,동작구
192,SEB119900172,상도감리교회,,,,37.5054913,126.9415426,2021/09/16 07:31:03,20803.0,11,서울특별시,동작구
193,SEB119900272,전문건설회관.보라매병원,,,,37.4923592,126.924958,2021/09/16 07:31:03,20748.0,11,서울특별시,동작구
194,SEB119900191,해태타워앞,,,,37.4910939,126.9246607,2021/09/16 07:31:03,20728.0,11,서울특별시,동작구
195,SEB119900074,보라매공원,,,,37.4946906,126.9186077,2021/09/16 07:31:03,20512.0,11,서울특별시,동작구
196,SEB119900269,대방동주공아파트,,,,37.5090527,126.9288799,2021/09/16 07:31:03,20940.0,11,서울특별시,동작구
197,SEB119900100,중앙대병원,,,,37.5075405,126.9613764,2021/09/16 07:31:03,20901.0,11,서울특별시,동작구
198,SEB119000302,사당역9번출구앞,,,,37.4773926,126.9813958,2021/09/16 07:31:03,20253.0,11,서울특별시,동작구
199,SEB119000293,동작실버센터입구,,,,37.5130085,126.9567458,2021/09/16 07:31:03,20251.0,11,서울특별시,동작구
200,SEB119000093,신대방삼거리,,,,37.4977748,126.9278411,2021/09/16 07:31:03,20186.0,11,서울특별시,동작구
201,SEB119000003,신대방현대아파트,,,,37.4953578,126.9115804,2021/09/16 07:31:03,20003.0,11,서울특별시,동작구
202,SEB119900023,상도역7호선,,,,37.5027474,126.9472102,2021/09/16 07:31:03,20577.0,11,서울특별시,동작구
203,SEB119900215,제일성민교회,,,,37.4953374,126.937401,2021/09/16 07:31:03,20953.0,11,서울특별시,동작구
204,SEB119000091,이수역9번출구,,,,37.4846184,126.9802576,2021/09/16 07:31:03,20184.0,11,서울특별시,동작구
205,SEB119900167,시장입구,,,,37.4894721,126.9771578,2021/09/16 07:31:03,20811.0,11,서울특별시,동작구
206,SEB119900052,성심슈퍼,,,,37.4951429,126.9344155,2021/09/16 07:31:03,20543.0,11,서울특별시,동작구
207,SEB119900244,상도역.하나은행,,,,37.5038198,126.9473327,2021/09/16 07:31:03,20790.0,11,서울특별시,동작구
208,SEB119000097,동작구청.노량진초등학교앞,,,,37.5103727,126.9400366,2021/09/16 07:31:03,20190.0,11,서울특별시,동작구
209,SEB119900083,사당역10번출구,,,,37.4786874,126.981581,2021/09/16 07:31:03,20500.0,11,서울특별시,동작구
210,SEB119900091,중앙빌리지.동부센트레빌,,,,37.5019875,126.9602426,2021/09/16 07:31:03,20912.0,11,서울특별시,동작구
211,SEB119900258,극동아파트110동,,,,37.4908474,126.974121,2021/09/16 07:31:03,20517.0,11,서울특별시,동작구
212,SEB119900174,우성201동.극동112동,,,,37.4881706,126.9760206,2021/09/16 07:31:03,20801.0,11,서울특별시,동작구
213,SEB119000102,중앙대학교,,,,37.5085092,126.9615071,2021/09/16 07:31:03,20195.0,11,서울특별시,동작구
214,SEB119900221,선재유통,,,,37.4945545,126.9327547,2021/09/16 07:31:03,20947.0,11,서울특별시,동작구
215,SEB119900236,교수아파트,,,,37.4962963,126.9134228,2021/09/16 07:31:03,20928.0,11,서울특별시,동작구
216,SEB119000024,노량진역,,,,37.5133914,126.941757,2021/09/16 07:31:03,20114.0,11,서울특별시,동작구
217,SEB119000051,서울공업고등학교,,,,37.4999614,126.9215709,2021/09/16 07:31:03,20144.0,11,서울특별시,동작구
218,SEB119900126,노량진역,,,,37.5135038,126.9432478,2021/09/16 07:31:03,20867.0,11,서울특별시,동작구
219,SEB119900031,밤골터널,,,,37.5016754,126.9458435,2021/09/16 07:31:03,20567.0,11,서울특별시,동작구
