,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명,gu
11670,SEB100000386,종로1가,,,,37.5701184,126.9809105,2021/09/16 07:31:03,1011.0,11,서울특별시,종로구
11671,SEB121000091,강남역.강남역사거리,,,,37.4977839,127.026604,2021/09/16 07:31:03,22167.0,11,서울특별시,서초구
11672,SEB105000121,대한노인회동대문구지회,,,,37.5760503,127.0557704,2021/09/16 07:31:03,6207.0,11,서울특별시,동대문구
11673,SEB119900057,갑을명가아파트,,,,37.493694,126.934574,2021/09/16 07:31:03,20537.0,11,서울특별시,동작구
11674,SEB219001167,탄현마을3.5단지,,,,37.6950606,126.7649157,2021/09/16 07:31:03,36023.0,11,서울특별시,고양시 일산서구
11675,SEB107000520,돈암힐스테이트.코오롱하늘채,,,,37.598437,127.0142965,2021/09/16 07:31:03,8218.0,11,서울특별시,성북구
11676,SEB115000141,가양2동강변아파트,,,,37.5641799,126.855638,2021/09/16 07:31:03,16238.0,11,서울특별시,강서구
11677,SEB124900112,고덕래미안힐스테이트시니어센터,,,,37.5590478,127.147861,2021/09/16 07:31:03,25732.0,11,서울특별시,강동구
11678,SEB107900183,누구나교회,,,,37.6119083,127.0448959,2021/09/16 07:31:03,8953.0,11,서울특별시,성북구
11679,SEB114000189,신월문화체육센터,,,,37.519969,126.835249,2021/09/16 07:31:03,15292.0,11,서울특별시,양천구
11680,SEB116000381,신도림동아3차아파트,,,,37.510174,126.8838007,2021/09/16 07:31:03,17855.0,11,서울특별시,구로구
11681,SEB118000098,당산유원제일1차아파트,,,,37.5284831,126.8960123,2021/09/16 07:31:03,19183.0,11,서울특별시,영등포구
11682,SEB105000222,한국산업인력공단서울지역본부,,,,37.5838057,127.0728351,2021/09/16 07:31:03,6308.0,11,서울특별시,동대문구
11683,SEB106000100,서일대학교,,,,37.5890787,127.0968044,2021/09/16 07:31:03,7194.0,11,서울특별시,중랑구
11684,SEB105000164,북한연구소앞,,,,37.5634648,127.0661434,2021/09/16 07:31:03,6250.0,11,서울특별시,동대문구
11685,SEB100000077,서린동.SK서린빌딩,,,,37.5692423,126.9802681,2021/09/16 07:31:03,1173.0,11,서울특별시,종로구
11686,SEB106000061,면목6거리,,,,37.5929402,127.0872031,2021/09/16 07:31:03,7155.0,11,서울특별시,중랑구
11687,SEB103900203,마장2교사거리,,,,37.5678638,127.0453461,2021/09/16 07:31:03,4839.0,11,서울특별시,성동구
11688,SEB102000033,청파시장,,,,37.548679,126.9698626,2021/09/16 07:31:03,3127.0,11,서울특별시,용산구
11689,SEB207000113,송현고등학교.장애인종합복지관,,,,37.7433419,127.0918675,2021/09/16 07:31:03,8270.0,11,서울특별시,의정부시
11690,SEB107900261,한진206동앞,,,,37.595494,127.0107232,2021/09/16 07:31:03,8919.0,11,서울특별시,성북구
11691,SEB116900158,공구상가,,,,37.4983327,126.8605354,2021/09/16 07:31:03,17912.0,11,서울특별시,구로구
11692,SEB113900205,로데오거리,,,,37.5479341,126.9202361,2021/09/16 07:31:03,14960.0,11,서울특별시,마포구
11693,SEB124000140,고덕주공6단지상일여고,,,,37.5508461,127.1721418,2021/09/16 07:31:03,25251.0,11,서울특별시,강동구
11694,SEB122000127,대치역8번출구,,,,37.4936775,127.0620595,2021/09/16 07:31:03,23230.0,11,서울특별시,강남구
11695,SEB118000524,CM충무병원,,,,37.5183527,126.9027079,2021/09/16 07:31:03,19429.0,11,서울특별시,영등포구
11696,SEB116900281,개봉역.림괄아파트,,,,37.4937341,126.8587232,2021/09/16 07:31:03,17504.0,11,서울특별시,구로구
11697,SEB117900105,문일고입구,,,,37.4511228,126.9016533,2021/09/16 07:31:03,18522.0,11,서울특별시,금천구
11698,SEB121000075,서초동예술의전당,,,,37.4792588,127.010918,2021/09/16 07:31:03,22151.0,11,서울특별시,서초구
11699,SEB112000068,연희3거리,,,,37.568079,126.931757,2021/09/16 07:31:03,13151.0,11,서울특별시,서대문구
11700,SEB124000412,고덕리엔파크3단지서문,,,,37.5512572,127.1738483,2021/09/16 07:31:03,25352.0,11,서울특별시,강동구
11701,SEB213000155,명문고등학교,,,,37.4721729,126.8508255,2021/09/16 07:31:03,38034.0,11,서울특별시,광명시
11702,SEB121000030,창신교회.서리풀노리학교,,,,37.4902221,127.0211947,2021/09/16 07:31:03,22106.0,11,서울특별시,서초구
11703,SEB109000010,도봉소방서.방학남부역,,,,37.6656765,127.0430512,2021/09/16 07:31:03,10010.0,11,서울특별시,도봉구
11704,SEB121900259,방배1동주민센터.방배아크로타워,,,,37.4834062,126.9961734,2021/09/16 07:31:03,22436.0,11,서울특별시,서초구
11705,SEB100900101,종로사우나,,,,37.5738011,126.9877503,2021/09/16 07:31:03,1790.0,11,서울특별시,종로구
11706,SEB113000205,월드메르디앙아파트,,,,37.5450734,126.9234283,2021/09/16 07:31:03,14308.0,11,서울특별시,마포구
11707,SEB122000087,봉은사.코엑스북문,,,,37.5141416,127.059015,2021/09/16 07:31:03,23190.0,11,서울특별시,강남구
11708,SEB115900093,강남슈퍼,,,,37.5351941,126.851024,2021/09/16 07:31:03,16594.0,11,서울특별시,강서구
11709,SEB111900024,대동슈퍼,,,,37.609168,126.907093,2021/09/16 07:31:03,12627.0,11,서울특별시,은평구
11710,SEB115000132,가양2단지성지아파트.동양고등학교,,,,37.5695279,126.846407,2021/09/16 07:31:03,16229.0,11,서울특별시,강서구
11711,SEB117900161,시흥동은행나무,,,,37.4506837,126.9092629,2021/09/16 07:31:03,18864.0,11,서울특별시,금천구
11712,SEB115900158,방화동삼익아파트,,,,37.5768069,126.8132284,2021/09/16 07:31:03,16957.0,11,서울특별시,강서구
11713,SEB208000083,명학초교,,,,37.3814106,126.9357578,2021/09/16 07:31:03,57046.0,11,서울특별시,안양시 만안구
11714,SEB218000141,화전동행정복지센터,,,,37.5987587,126.8741403,2021/09/16 07:31:03,35319.0,11,서울특별시,고양시 덕양구
11715,SEB116900085,개봉1동주민센터,,,,37.5003864,126.8510152,2021/09/16 07:31:03,17502.0,11,서울특별시,구로구
11716,SEB106000318,망우역,,,,37.5986297,127.092981,2021/09/16 07:31:03,7417.0,11,서울특별시,중랑구
11717,SEB110000686,그린아파트101동앞,,,,37.6443433,127.0616415,2021/09/16 07:31:03,11460.0,11,서울특별시,노원구
11718,SEB120000423,건영유치원,,,,37.4850634,126.914994,2021/09/16 07:31:03,21352.0,11,서울특별시,관악구
11719,SEB122000503,도곡2동주민센터대치중학교,,,,37.4842517,127.0455126,2021/09/16 07:31:03,23698.0,11,서울특별시,강남구
11720,SEB116900132,대림5차아파트.신도림주민센터,,,,37.5073421,126.8813245,2021/09/16 07:31:03,17945.0,11,서울특별시,구로구
11721,SEB117000001,문성초등학교,,,,37.4753637,126.898666,2021/09/16 07:31:03,18001.0,11,서울특별시,금천구
11722,SEB115900011,신학대학,,,,37.5494785,126.8512242,2021/09/16 07:31:03,16516.0,11,서울특별시,강서구
11723,SEB213000134,광명우체국,,,,37.4613351,126.8752456,2021/09/16 07:31:03,38616.0,11,서울특별시,광명시
11724,SEB110900052,청원고등학교,,,,37.6646214,127.0613182,2021/09/16 07:31:03,11847.0,11,서울특별시,노원구
11725,SEB120000055,삼성동시장,,,,37.4727127,126.9329597,2021/09/16 07:31:03,21156.0,11,서울특별시,관악구
11726,SEB105000037,중랑교,,,,37.5911443,127.0664306,2021/09/16 07:31:03,6121.0,11,서울특별시,동대문구
11727,SEB227000262,동일하이빌아파트(중),,,,37.5405169,127.2194716,2021/09/16 07:31:03,65049.0,11,서울특별시,하남시
11728,SEB109900001,용호약국,,,,37.6499633,127.025211,2021/09/16 07:31:03,10510.0,11,서울특별시,도봉구
11729,SEB120900017,낙성대역,,,,37.4778756,126.9626592,2021/09/16 07:31:03,21576.0,11,서울특별시,관악구
11730,SEB113900045,당인리발전소,,,,37.5452896,126.9179054,2021/09/16 07:31:03,14551.0,11,서울특별시,마포구
11731,SEB123000184,송파사회복지관.성요셉성당,,,,37.498118,127.140953,2021/09/16 07:31:03,24274.0,11,서울특별시,송파구
11732,SEB120900170,봉림교,,,,37.4836557,126.9268686,2021/09/16 07:31:03,21912.0,11,서울특별시,관악구
11733,SEB113900218,아현전철역,,,,37.5571741,126.9568346,2021/09/16 07:31:03,14622.0,11,서울특별시,마포구
11734,SEB122000163,신논현역,,,,37.5046361,127.0257548,2021/09/16 07:31:03,23266.0,11,서울특별시,강남구
11735,SEB100900109,참샘골공원,,,,37.6145722,126.9741212,2021/09/16 07:31:03,1723.0,11,서울특별시,종로구
11736,SEB108000054,강북노인종합복지관,,,,37.6344334,127.0189955,2021/09/16 07:31:03,9142.0,11,서울특별시,강북구
11737,SEB104000061,구의사거리,,,,37.5458173,127.086348,2021/09/16 07:31:03,5154.0,11,서울특별시,광진구
11738,SEB120900109,경천교회,,,,37.4879473,126.9405543,2021/09/16 07:31:03,21770.0,11,서울특별시,관악구
11739,SEB114000425,신정이펜하우스3.4단지,,,,37.51126,126.8303449,2021/09/16 07:31:03,15421.0,11,서울특별시,양천구
11740,SEB211000070,역곡고가입구,,,,37.4867505,126.8172024,2021/09/16 07:31:03,0.0,11,서울특별시,부천시
11741,SEB212000056,오정경찰서.여월휴먼시아5단지,,,,37.5118707,126.8000888,2021/09/16 07:31:03,46728.0,11,서울특별시,부천시
11742,SEB229002867,한국자원재생공사,,,,37.7702744,126.8511313,2021/09/16 07:31:03,31611.0,11,서울특별시,파주시
11743,SEB119900006,사당문화복지관,,,,37.4852225,126.9694957,2021/09/16 07:31:03,20600.0,11,서울특별시,동작구
11744,SEB106000270,신내6단지아파트,,,,37.6163595,127.0918,2021/09/16 07:31:03,7367.0,11,서울특별시,중랑구
11745,SEB102000176,금호베스트빌앞,,,,37.5226191,126.9905758,2021/09/16 07:31:03,3270.0,11,서울특별시,용산구
