,2017-1-31,2017-2-28,2017-3-31,2017-4-30,2017-5-31,2017-6-30,2017-7-31,2017-8-31,2017-9-30,2017-10-31,2017-11-30,2017-12-31,2018-1-31,2018-2-28,2018-3-31,2018-4-30,2018-5-31,2018-6-30,2018-7-31,2018-8-31,2018-9-30,2018-10-31,2018-11-30,2018-12-31,2019-1-31,2019-2-28,2019-3-31,2019-4-30,2019-5-31,2019-6-30,2019-7-31,2019-8-31,2019-9-30,2019-10-31,2019-11-30,2019-12-31,2020-1-31,2020-2-29,2020-3-31,2020-4-30,2020-5-31,2020-6-30,2020-7-31,2020-8-31,2020-9-30,2020-10-31,2020-11-30,2020-12-31,2021-1-31,2021-2-28,2021-3-31,2021-4-30,2021-5-31,2021-6-30,2021-7-31,2021-8-31,2021-9-30,2021-10-31,2021-11-30,2021-12-31,2022-1-31,2022-2-28,2022-3-31,2022-4-30,2022-5-31,2022-6-30,2022-7-31,2022-8-31,2022-9-30,2022-10-31,2022-11-30,2022-12-31
동대문구,351,346,346,346,346,346,346,346,346,350,348,346,379,395,395,395,395,395,395,395,395,388,392,395,405,408,408,408,408,408,408,408,408,406,411,408,422,424,424,424,424,424,424,424,424,420,421,424,423,427,427,427,427,427,427,427,427,425,424,427,412,403,403,403,403,403,403,403,403,412,414,403
용산구,370,379,379,379,379,379,379,379,379,370,378,379,390,391,391,391,391,391,391,391,391,391,394,391,417,420,420,420,420,420,420,420,420,420,421,422,440,444,444,444,444,444,444,444,444,440,443,444,443,447,447,447,447,447,447,447,447,444,450,449,469,480,480,480,480,480,480,480,480,472,482,480
중랑구,237,234,234,234,234,234,234,234,234,239,239,234,250,246,246,246,246,246,246,246,246,250,250,247,290,295,295,295,295,295,295,295,295,294,297,296,329,329,329,329,329,329,329,329,329,326,328,329,361,367,367,367,367,367,367,367,367,362,370,367,382,377,377,377,377,377,377,377,377,381,380,377
강북구,202,203,203,203,203,203,203,203,203,203,204,203,212,211,211,211,211,211,211,211,211,215,216,211,217,219,219,219,219,219,219,219,219,218,222,221,240,243,243,243,243,243,243,243,243,238,240,243,239,251,251,251,251,251,251,251,251,248,253,251,249,239,239,239,239,239,239,239,239,247,246,239
동작구,389,397,397,397,397,397,397,397,397,393,398,397,414,416,416,416,416,416,416,416,416,415,420,416,444,438,438,438,438,438,438,438,438,441,440,439,461,431,431,431,431,431,431,431,431,465,470,432,441,452,452,452,452,452,452,452,452,448,453,453,472,465,465,465,465,465,465,465,465,469,466,465
은평구,347,352,352,352,352,352,352,352,352,349,355,352,379,387,387,387,387,387,387,387,387,387,388,387,374,367,367,367,367,367,367,367,367,378,372,368,385,399,399,399,399,399,399,399,399,390,398,400,415,408,408,408,408,408,408,408,408,411,410,408,391,379,379,379,379,379,379,379,379,390,385,379
강서구,649,665,665,665,665,665,665,665,665,650,662,665,728,748,748,748,748,748,748,748,748,742,747,748,827,838,838,838,838,838,838,838,838,843,845,842,900,907,907,907,907,907,907,907,907,906,911,907,990,983,983,983,983,983,983,983,983,994,996,984,1026,1004,1004,1004,1004,1004,1004,1004,1004,1027,1021,1004
강동구,388,383,383,383,383,383,383,383,383,380,384,383,417,414,414,414,414,414,414,414,414,419,414,416,460,470,470,470,470,470,470,470,470,461,468,471,519,516,516,516,516,516,516,516,516,519,519,517,574,578,578,578,578,578,578,578,578,581,577,579,617,608,608,608,608,608,608,608,608,622,615,608
도봉구,198,199,199,199,199,199,199,199,199,203,203,199,226,228,228,228,228,228,228,228,228,227,227,229,247,249,249,249,249,249,249,249,249,249,247,249,271,272,272,272,272,272,272,272,272,276,277,273,284,280,280,280,280,280,280,280,280,285,283,281,287,274,274,274,274,274,274,274,274,279,278,275
금천구,293,289,289,289,289,289,289,289,289,289,288,289,311,323,323,323,323,323,323,323,323,314,324,324,340,337,337,337,337,337,337,337,337,339,340,339,368,375,375,375,375,375,375,375,375,367,373,375,404,398,398,398,398,398,398,398,398,396,403,400,423,423,423,423,423,423,423,423,423,428,431,423
양천구,369,352,352,352,352,352,352,352,352,364,358,352,357,356,356,356,356,356,356,356,356,355,358,357,380,391,391,391,391,391,391,391,391,387,393,392,421,414,414,414,414,414,414,414,414,419,420,415,418,424,424,424,424,424,424,424,424,420,424,425,436,442,442,442,442,442,442,442,442,438,442,442
관악구,429,436,436,436,436,436,436,436,436,430,433,436,471,479,479,479,479,479,479,479,479,472,477,479,527,527,527,527,527,527,527,527,527,523,525,527,562,559,559,559,559,559,559,559,559,561,561,559,584,593,593,593,593,593,593,593,593,586,593,593,606,594,594,594,594,594,594,594,594,605,600,594
노원구,391,399,399,399,399,399,399,399,399,396,398,399,427,432,432,432,432,432,432,432,432,429,431,433,472,472,472,472,472,472,472,472,472,473,477,475,489,484,484,484,484,484,484,484,484,489,486,484,517,523,523,523,523,523,523,523,523,519,521,523,556,545,545,545,545,545,545,545,545,554,550,546
성동구,290,299,299,299,299,299,299,299,299,295,299,299,336,344,344,344,344,344,344,344,344,337,339,344,364,383,383,383,383,383,383,383,383,368,380,383,421,421,421,421,421,421,421,421,421,420,416,422,434,436,436,436,436,436,436,436,436,437,441,437,450,439,439,439,439,439,439,439,439,456,443,439
광진구,300,302,302,302,302,302,302,302,302,301,298,302,357,374,374,374,374,374,374,374,374,365,370,374,437,443,443,443,443,443,443,443,443,443,443,443,500,501,501,501,501,501,501,501,501,503,505,503,548,550,550,550,550,550,550,550,550,555,557,551,599,580,580,580,580,580,580,580,580,590,589,580
