,자치구별,계약월,CoffeeShop,1m^2 전용면적당 거래금액(만원)
189,성동구,10,437,649.0
190,성동구,11,441,687.0
191,성동구,12,437,653.0
192,성북구,1,508,516.0
193,성북구,2,524,493.0
194,성북구,3,524,547.0
195,성북구,4,524,486.0
196,성북구,5,524,514.0
197,성북구,6,524,512.0
198,성북구,7,524,472.0
199,성북구,8,524,503.0
200,성북구,9,524,429.0
201,성북구,10,512,509.0
202,성북구,11,515,481.0
203,성북구,12,524,494.0
204,송파구,1,676,720.0
205,송파구,2,692,696.0
206,송파구,3,692,717.0
207,송파구,4,692,655.0
208,송파구,5,692,683.0
209,송파구,6,692,714.0
210,송파구,7,692,680.0
211,송파구,8,692,574.0
212,송파구,9,692,687.0
213,송파구,10,683,651.0
214,송파구,11,695,741.0
215,송파구,12,692,606.0
216,양천구,1,418,600.0
217,양천구,2,424,593.0
218,양천구,3,424,578.0
219,양천구,4,424,447.0
220,양천구,5,424,593.0
221,양천구,6,424,489.0
222,양천구,7,424,544.0
223,양천구,8,424,431.0
224,양천구,9,424,468.0
225,양천구,10,420,539.0
226,양천구,11,424,585.0
227,양천구,12,425,603.0
228,영등포구,1,902,537.0
229,영등포구,2,914,507.0
230,영등포구,3,914,527.0
231,영등포구,4,914,521.0
232,영등포구,5,914,579.0
233,영등포구,6,914,539.0
234,영등포구,7,914,566.0
235,영등포구,8,914,494.0
236,영등포구,9,914,545.0
237,영등포구,10,907,607.0
238,영등포구,11,913,603.0
239,영등포구,12,916,592.0
240,용산구,1,443,660.0
241,용산구,2,447,657.0
242,용산구,3,447,475.0
243,용산구,4,447,642.0
244,용산구,5,447,726.0
245,용산구,6,447,680.0
246,용산구,7,447,606.0
247,용산구,8,447,622.0
248,용산구,9,447,577.0
249,용산구,10,444,599.0
250,용산구,11,450,621.0
251,용산구,12,449,625.0
252,은평구,1,415,425.0
253,은평구,2,408,386.0
254,은평구,3,408,468.0
255,은평구,4,408,455.0
256,은평구,5,408,511.0
257,은평구,6,408,483.0
258,은평구,7,408,478.0
259,은평구,8,408,421.0
260,은평구,9,408,377.0
261,은평구,10,411,432.0
262,은평구,11,410,502.0
263,은평구,12,408,436.0
264,종로구,1,848,586.0
265,종로구,2,850,521.0
266,종로구,3,850,612.0
267,종로구,4,850,567.0
268,종로구,5,850,649.0
269,종로구,6,850,569.0
270,종로구,7,850,611.0
271,종로구,8,850,588.0
272,종로구,9,850,463.0
273,종로구,10,849,562.0
274,종로구,11,848,548.0
275,종로구,12,850,547.0
276,중구,1,1150,597.0
277,중구,2,1147,615.0
278,중구,3,1147,589.0
279,중구,4,1147,653.0
280,중구,5,1147,646.0
281,중구,6,1147,587.0
282,중구,7,1147,520.0
283,중구,8,1147,496.0
284,중구,9,1147,450.0
285,중구,10,1151,590.0
286,중구,11,1150,525.0
287,중구,12,1148,579.0
288,중랑구,1,361,400.0
289,중랑구,2,367,415.0
290,중랑구,3,367,436.0
291,중랑구,4,367,461.0
292,중랑구,5,367,483.0
293,중랑구,6,367,471.0
294,중랑구,7,367,486.0
295,중랑구,8,367,381.0
296,중랑구,9,367,444.0
297,중랑구,10,362,381.0
298,중랑구,11,370,421.0
299,중랑구,12,367,329.0
