,계약연월,자치구별,CoffeeShop
377,2018-4,영등포구,798
378,2018-4,서대문구,492
379,2018-4,강남구,1675
380,2018-4,중구,1072
381,2018-4,송파구,441
382,2018-4,종로구,876
383,2018-4,마포구,941
384,2018-4,성북구,431
385,2018-4,동대문구,395
386,2018-4,용산구,391
387,2018-4,중랑구,246
388,2018-4,강북구,211
389,2018-4,동작구,416
390,2018-4,은평구,387
391,2018-4,강서구,748
392,2018-4,강동구,414
393,2018-4,도봉구,228
394,2018-4,금천구,323
395,2018-4,양천구,356
396,2018-4,관악구,479
397,2018-4,노원구,432
398,2018-4,성동구,344
399,2018-4,광진구,374
400,2018-5,구로구,405
401,2018-5,서초구,943
402,2018-5,영등포구,798
403,2018-5,서대문구,492
404,2018-5,강남구,1675
405,2018-5,중구,1072
406,2018-5,송파구,441
407,2018-5,종로구,876
408,2018-5,마포구,941
409,2018-5,성북구,431
410,2018-5,동대문구,395
411,2018-5,용산구,391
412,2018-5,중랑구,246
413,2018-5,강북구,211
414,2018-5,동작구,416
415,2018-5,은평구,387
416,2018-5,강서구,748
417,2018-5,강동구,414
418,2018-5,도봉구,228
419,2018-5,금천구,323
420,2018-5,양천구,356
421,2018-5,관악구,479
422,2018-5,노원구,432
423,2018-5,성동구,344
424,2018-5,광진구,374
425,2018-6,구로구,405
426,2018-6,서초구,943
427,2018-6,영등포구,798
428,2018-6,서대문구,492
429,2018-6,강남구,1675
430,2018-6,중구,1072
431,2018-6,송파구,441
432,2018-6,종로구,876
433,2018-6,마포구,941
434,2018-6,성북구,431
435,2018-6,동대문구,395
436,2018-6,용산구,391
437,2018-6,중랑구,246
438,2018-6,강북구,211
439,2018-6,동작구,416
440,2018-6,은평구,387
441,2018-6,강서구,748
442,2018-6,강동구,414
443,2018-6,도봉구,228
444,2018-6,금천구,323
445,2018-6,양천구,356
446,2018-6,관악구,479
447,2018-6,노원구,432
448,2018-6,성동구,344
449,2018-6,광진구,374
450,2018-7,구로구,405
451,2018-7,서초구,943
452,2018-7,영등포구,798
453,2018-7,서대문구,492
454,2018-7,강남구,1675
455,2018-7,중구,1072
456,2018-7,송파구,441
457,2018-7,종로구,876
458,2018-7,마포구,941
459,2018-7,성북구,431
460,2018-7,동대문구,395
461,2018-7,용산구,391
462,2018-7,중랑구,246
463,2018-7,강북구,211
464,2018-7,동작구,416
465,2018-7,은평구,387
466,2018-7,강서구,748
467,2018-7,강동구,414
468,2018-7,도봉구,228
469,2018-7,금천구,323
470,2018-7,양천구,356
471,2018-7,관악구,479
472,2018-7,노원구,432
473,2018-7,성동구,344
474,2018-7,광진구,374
475,2018-8,구로구,405
476,2018-8,서초구,943
477,2018-8,영등포구,798
478,2018-8,서대문구,492
479,2018-8,강남구,1675
480,2018-8,중구,1072
481,2018-8,송파구,441
482,2018-8,종로구,876
483,2018-8,마포구,941
484,2018-8,성북구,431
485,2018-8,동대문구,395
486,2018-8,용산구,391
487,2018-8,중랑구,246
488,2018-8,강북구,211
489,2018-8,동작구,416
490,2018-8,은평구,387
