자치구별,계약월,계약연도,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
금천구,7,2020.0,67.0,25313.0,377.0
금천구,8,2020.0,65.0,24432.0,390.0
금천구,9,2020.0,61.0,25002.0,434.0
금천구,10,2020.0,61.0,27136.0,471.0
금천구,11,2020.0,58.0,25728.0,537.0
금천구,12,2020.0,57.0,27121.0,528.0
노원구,1,2020.0,60.0,20656.0,322.0
노원구,2,2020.0,59.0,19914.0,315.0
노원구,3,2020.0,60.0,19659.0,312.0
노원구,4,2020.0,59.0,19118.0,302.0
노원구,5,2020.0,59.0,19711.0,311.0
노원구,6,2020.0,61.0,20795.0,323.0
노원구,7,2020.0,59.0,20410.0,321.0
노원구,8,2020.0,59.0,20165.0,324.0
노원구,9,2020.0,59.0,21889.0,347.0
노원구,10,2020.0,60.0,23140.0,362.0
노원구,11,2020.0,62.0,24613.0,375.0
노원구,12,2020.0,62.0,25535.0,389.0
도봉구,1,2020.0,66.0,20360.0,300.0
도봉구,2,2020.0,65.0,18841.0,283.0
도봉구,3,2020.0,66.0,19490.0,287.0
도봉구,4,2020.0,64.0,19253.0,294.0
도봉구,5,2020.0,64.0,20045.0,304.0
도봉구,6,2020.0,67.0,20650.0,299.0
도봉구,7,2020.0,65.0,21105.0,317.0
도봉구,8,2020.0,63.0,20043.0,308.0
도봉구,9,2020.0,63.0,21993.0,334.0
도봉구,10,2020.0,65.0,22815.0,339.0
도봉구,11,2020.0,68.0,24513.0,354.0
도봉구,12,2020.0,68.0,25655.0,364.0
동대문구,1,2020.0,64.0,27906.0,447.0
동대문구,2,2020.0,66.0,28559.0,459.0
동대문구,3,2020.0,70.0,30874.0,462.0
동대문구,4,2020.0,63.0,26274.0,394.0
동대문구,5,2020.0,67.0,30549.0,453.0
동대문구,6,2020.0,70.0,35387.0,511.0
동대문구,7,2020.0,66.0,32381.0,490.0
동대문구,8,2020.0,68.0,33236.0,514.0
동대문구,9,2020.0,63.0,30078.0,483.0
동대문구,10,2020.0,67.0,33466.0,511.0
동대문구,11,2020.0,60.0,27516.0,442.0
동대문구,12,2020.0,62.0,32115.0,523.0
동작구,1,2020.0,76.0,39222.0,501.0
동작구,2,2020.0,75.0,41002.0,539.0
동작구,3,2020.0,75.0,41684.0,551.0
동작구,4,2020.0,74.0,41205.0,538.0
동작구,5,2020.0,75.0,43251.0,568.0
동작구,6,2020.0,77.0,44218.0,566.0
동작구,7,2020.0,77.0,44079.0,553.0
동작구,8,2020.0,76.0,44887.0,574.0
동작구,9,2020.0,72.0,43197.0,588.0
동작구,10,2020.0,76.0,47316.0,620.0
동작구,11,2020.0,75.0,45574.0,598.0
동작구,12,2020.0,76.0,48526.0,625.0
마포구,1,2020.0,71.0,39894.0,562.0
마포구,2,2020.0,72.0,42365.0,578.0
